feature,rank
sub_wout_original_glcm_ClusterProminence,80
adc_original_firstorder_Minimum,63
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,53
sub_wout_original_firstorder_Maximum,81
adc_original_glcm_ClusterShade,16
sub_wout_original_firstorder_Mean,84
sub_win_original_glcm_Autocorrelation,74
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,78
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,76
sub_wout_original_firstorder_10Percentile,73
adc_original_firstorder_10Percentile,68
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,47
sub_win_original_glcm_ClusterProminence,65
sub_wout_original_firstorder_Minimum,46
sub_wout_original_firstorder_Range,56
sub_wout_original_glcm_ClusterTendency,82
t2w_original_glszm_GrayLevelVariance,39
sub_wout_original_firstorder_RootMeanSquared,89
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,51
sub_wout_original_glcm_JointAverage,45
sub_win_original_firstorder_Mean,34
sub_wout_original_firstorder_Variance,87
sub_wout_original_firstorder_InterquartileRange,86
sub_win_original_glcm_Idmn,61
sub_win_original_glcm_ClusterShade,71
sub_wout_original_firstorder_Median,33
sub_wout_original_glcm_SumEntropy,79
sub_win_original_firstorder_10Percentile,67
adc_original_glszm_SmallAreaEmphasis,31
sub_wout_original_glszm_GrayLevelVariance,77
t2w_original_glcm_Idmn,21
sub_win_original_glszm_GrayLevelVariance,3
t2w_original_firstorder_Skewness,70
sub_wout_original_glcm_InverseVariance,35
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,49
t2w_original_firstorder_10Percentile,40
adc_original_firstorder_Maximum,26
sub_win_original_firstorder_Range,75
sub_wout_original_glcm_SumSquares,85
t2w_original_glcm_ClusterProminence,57
sub_wout_original_firstorder_90Percentile,88
t2w_original_glcm_SumEntropy,23
sub_wout_original_glszm_ZoneEntropy,17
adc_original_glcm_MaximumProbability,50
t2w_original_glrlm_GrayLevelVariance,59
t2w_original_glszm_ZoneEntropy,15
sub_win_original_glcm_SumSquares,38
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,5
sub_win_original_firstorder_90Percentile,42
t2w_original_glcm_ClusterShade,36
adc_original_glrlm_LongRunEmphasis,32
adc_original_firstorder_Mean,44
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,10
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,22
adc_original_glcm_Correlation,24
t2w_original_glcm_InverseVariance,13
sub_win_original_glcm_Id,58
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,37
sub_wout_original_glcm_DifferenceVariance,69
adc_original_glszm_ZoneEntropy,60
t2w_original_glrlm_RunEntropy,4
sub_wout_original_firstorder_Uniformity,11
t2w_original_firstorder_Median,30
adc_original_glszm_SizeZoneNonUniformityNormalized,18
sub_wout_original_glcm_Imc1,52
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,55
adc_original_glcm_ClusterProminence,41
adc_original_glcm_DifferenceVariance,64
t2w_original_firstorder_90Percentile,48
t2w_original_glszm_SmallAreaEmphasis,14
adc_original_glcm_JointEntropy,72
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,29
t2w_original_glcm_ClusterTendency,27
sub_win_original_glcm_SumEntropy,1
sub_wout_original_glszm_ZoneVariance,19
adc_original_glcm_Idmn,54
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,83
adc_original_firstorder_Kurtosis,43
t2w_original_glcm_MaximumProbability,28
sub_win_original_glszm_ZoneEntropy,9
t2w_original_glszm_SizeZoneNonUniformityNormalized,6
t2w_original_glcm_JointEntropy,12
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,20
sub_win_original_glszm_SizeZoneNonUniformityNormalized,7
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,62
sub_win_original_glcm_MaximumProbability,2
sub_win_original_glcm_Imc1,25
sub_wout_original_glcm_JointEntropy,8
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,66
