feature,rank
adc_original_firstorder_Mean,89
sub_wout_original_glcm_DifferenceVariance,88
t2w_original_firstorder_Skewness,87
adc_original_firstorder_10Percentile,86
sub_win_original_glcm_Imc1,85
sub_win_original_glcm_SumEntropy,84
adc_original_glcm_Idmn,83
t2w_original_glszm_ZoneEntropy,82
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,81
adc_original_glcm_Correlation,80
sub_win_original_firstorder_10Percentile,79
sub_win_original_glszm_GrayLevelVariance,78
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,77
adc_original_glcm_ClusterProminence,76
t2w_original_firstorder_90Percentile,75
sub_wout_original_glcm_InverseVariance,74
sub_wout_original_glcm_Imc1,73
adc_original_glszm_ZoneEntropy,72
sub_win_original_glcm_ClusterProminence,71
sub_wout_original_glcm_SumEntropy,70
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,69
t2w_original_firstorder_10Percentile,68
t2w_original_glcm_ClusterProminence,67
sub_wout_original_firstorder_Minimum,66
t2w_original_glcm_Idmn,65
t2w_original_glszm_GrayLevelVariance,64
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,63
adc_original_glcm_MaximumProbability,62
sub_wout_original_firstorder_Uniformity,61
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,60
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,59
sub_wout_original_firstorder_90Percentile,58
adc_original_glcm_ClusterShade,57
sub_wout_original_glszm_ZoneEntropy,56
sub_wout_original_firstorder_10Percentile,55
sub_wout_original_firstorder_Range,54
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,53
sub_win_original_glcm_MaximumProbability,52
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,51
sub_win_original_glszm_ZoneEntropy,50
t2w_original_glcm_ClusterTendency,49
adc_original_firstorder_Minimum,48
sub_wout_original_firstorder_RootMeanSquared,47
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,46
sub_win_original_firstorder_Mean,45
sub_wout_original_glcm_JointEntropy,44
adc_original_glcm_DifferenceVariance,43
sub_wout_original_glszm_ZoneVariance,42
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,41
sub_wout_original_glcm_SumSquares,40
adc_original_firstorder_Maximum,39
sub_win_original_glcm_ClusterShade,38
sub_wout_original_firstorder_InterquartileRange,37
t2w_original_glcm_ClusterShade,36
adc_original_glszm_SizeZoneNonUniformityNormalized,35
t2w_original_glszm_SizeZoneNonUniformityNormalized,34
sub_win_original_glszm_SizeZoneNonUniformityNormalized,33
sub_wout_original_glcm_JointAverage,32
sub_win_original_glcm_SumSquares,31
sub_wout_original_firstorder_Mean,30
sub_wout_original_glszm_GrayLevelVariance,29
adc_original_glrlm_LongRunEmphasis,28
sub_wout_original_firstorder_Median,27
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,26
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,25
t2w_original_glcm_SumEntropy,24
t2w_original_firstorder_Median,23
sub_win_original_firstorder_90Percentile,22
t2w_original_glszm_SmallAreaEmphasis,21
adc_original_firstorder_Kurtosis,20
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,19
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,18
sub_win_original_glcm_Id,17
adc_original_glszm_SmallAreaEmphasis,16
t2w_original_glrlm_RunEntropy,15
sub_wout_original_firstorder_Maximum,14
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,13
sub_win_original_glcm_Idmn,12
sub_win_original_glcm_Autocorrelation,11
sub_wout_original_glcm_ClusterTendency,10
sub_wout_original_glcm_ClusterProminence,9
sub_win_original_firstorder_Range,8
sub_wout_original_firstorder_Variance,7
t2w_original_glcm_InverseVariance,6
t2w_original_glrlm_GrayLevelVariance,5
t2w_original_glcm_MaximumProbability,4
adc_original_glcm_JointEntropy,3
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,2
t2w_original_glcm_JointEntropy,1
