feature,rank
sub_wout_original_firstorder_Range,89
sub_win_original_glszm_GrayLevelVariance,88
sub_win_original_glcm_Idmn,87
adc_original_glszm_ZoneEntropy,86
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,85
sub_wout_original_glcm_ClusterProminence,84
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,83
adc_original_glcm_ClusterProminence,82
t2w_original_glcm_SumEntropy,81
sub_win_original_glcm_SumSquares,80
adc_original_glrlm_LongRunEmphasis,79
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,78
sub_wout_original_firstorder_90Percentile,77
sub_win_original_glcm_MaximumProbability,76
t2w_original_glrlm_RunEntropy,75
t2w_original_firstorder_Skewness,74
t2w_original_glcm_ClusterShade,73
adc_original_firstorder_Maximum,72
sub_win_original_glcm_ClusterShade,71
t2w_original_firstorder_90Percentile,70
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,69
adc_original_glcm_Idmn,68
sub_win_original_firstorder_Range,67
t2w_original_glcm_MaximumProbability,66
sub_win_original_glszm_ZoneEntropy,65
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,64
adc_original_glcm_MaximumProbability,63
t2w_original_firstorder_Median,62
adc_original_glszm_SmallAreaEmphasis,61
t2w_original_glszm_GrayLevelVariance,60
sub_wout_original_glcm_InverseVariance,59
t2w_original_glcm_InverseVariance,58
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,57
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,56
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,55
adc_original_glcm_Correlation,54
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,53
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,52
t2w_original_glszm_ZoneEntropy,51
adc_original_firstorder_Mean,50
t2w_original_glszm_SmallAreaEmphasis,49
sub_wout_original_firstorder_InterquartileRange,48
adc_original_glszm_SizeZoneNonUniformityNormalized,47
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,46
sub_win_original_firstorder_90Percentile,45
t2w_original_glszm_SizeZoneNonUniformityNormalized,44
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,43
sub_wout_original_glcm_JointAverage,42
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,41
t2w_original_glcm_ClusterTendency,40
sub_win_original_glcm_ClusterProminence,39
sub_wout_original_glszm_ZoneEntropy,38
sub_wout_original_firstorder_Minimum,37
sub_win_original_firstorder_Mean,36
sub_win_original_glcm_Autocorrelation,35
sub_wout_original_firstorder_Variance,34
sub_wout_original_glcm_SumEntropy,33
t2w_original_glcm_ClusterProminence,32
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,31
sub_wout_original_glszm_ZoneVariance,30
sub_wout_original_firstorder_RootMeanSquared,29
adc_original_firstorder_10Percentile,28
sub_wout_original_glcm_Imc1,27
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,26
sub_win_original_firstorder_10Percentile,25
sub_wout_original_firstorder_Maximum,24
sub_wout_original_glcm_SumSquares,23
t2w_original_glcm_JointEntropy,22
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,21
sub_win_original_glcm_Imc1,20
adc_original_firstorder_Kurtosis,19
t2w_original_firstorder_10Percentile,18
sub_wout_original_glcm_DifferenceVariance,17
adc_original_glcm_JointEntropy,16
t2w_original_glcm_Idmn,15
sub_wout_original_glcm_JointEntropy,14
adc_original_glcm_ClusterShade,13
sub_win_original_glcm_SumEntropy,12
sub_win_original_glszm_SizeZoneNonUniformityNormalized,11
sub_wout_original_glcm_ClusterTendency,10
sub_win_original_glcm_Id,9
sub_wout_original_firstorder_Uniformity,8
t2w_original_glrlm_GrayLevelVariance,7
sub_wout_original_firstorder_Median,6
adc_original_firstorder_Minimum,5
sub_wout_original_firstorder_Mean,4
sub_wout_original_firstorder_10Percentile,3
sub_wout_original_glszm_GrayLevelVariance,2
adc_original_glcm_DifferenceVariance,1
