,feature,icc_value,c_down,c_up,sequence
3891,wavelet-LHH_glcm_JointEntropy,0.97,0.94,0.99,t2w
3892,wavelet-LHH_glcm_MCC,0.66,0.5,0.83,t2w
3893,wavelet-LHH_glcm_MaximumProbability,0.99,0.97,0.99,t2w
3894,wavelet-LHH_glcm_SumAverage,0.63,0.46,0.81,t2w
3895,wavelet-LHH_glcm_SumEntropy,0.96,0.93,0.99,t2w
3896,wavelet-LHH_glcm_SumSquares,0.88,0.79,0.95,t2w
3897,wavelet-LHH_glrlm_GrayLevelNonUniformity,0.99,0.98,1.0,t2w
3898,wavelet-LHH_glrlm_GrayLevelNonUniformityNormalized,0.97,0.95,0.99,t2w
3899,wavelet-LHH_glrlm_GrayLevelVariance,0.86,0.75,0.94,t2w
3900,wavelet-LHH_glrlm_HighGrayLevelRunEmphasis,0.53,0.36,0.75,t2w
3901,wavelet-LHH_glrlm_LongRunEmphasis,0.99,0.98,1.0,t2w
3902,wavelet-LHH_glrlm_LongRunHighGrayLevelEmphasis,0.48,0.31,0.71,t2w
3903,wavelet-LHH_glrlm_LongRunLowGrayLevelEmphasis,0.82,0.7,0.92,t2w
3904,wavelet-LHH_glrlm_LowGrayLevelRunEmphasis,0.77,0.63,0.9,t2w
3905,wavelet-LHH_glrlm_RunEntropy,0.91,0.85,0.96,t2w
3906,wavelet-LHH_glrlm_RunLengthNonUniformity,0.98,0.96,0.99,t2w
3907,wavelet-LHH_glrlm_RunLengthNonUniformityNormalized,0.99,0.98,1.0,t2w
3908,wavelet-LHH_glrlm_RunPercentage,0.99,0.98,1.0,t2w
3909,wavelet-LHH_glrlm_RunVariance,0.99,0.99,1.0,t2w
3910,wavelet-LHH_glrlm_ShortRunEmphasis,0.99,0.97,0.99,t2w
3911,wavelet-LHH_glrlm_ShortRunHighGrayLevelEmphasis,0.55,0.38,0.76,t2w
3912,wavelet-LHH_glrlm_ShortRunLowGrayLevelEmphasis,0.75,0.61,0.89,t2w
3913,wavelet-LHH_glszm_GrayLevelNonUniformity,0.95,0.91,0.98,t2w
3914,wavelet-LHH_glszm_GrayLevelNonUniformityNormalized,0.89,0.81,0.95,t2w
3915,wavelet-LHH_glszm_GrayLevelVariance,0.68,0.52,0.85,t2w
3916,wavelet-LHH_glszm_HighGrayLevelZoneEmphasis,0.54,0.36,0.75,t2w
3917,wavelet-LHH_glszm_LargeAreaEmphasis,0.99,0.99,1.0,t2w
3918,wavelet-LHH_glszm_LargeAreaHighGrayLevelEmphasis,0.75,0.61,0.89,t2w
3919,wavelet-LHH_glszm_LargeAreaLowGrayLevelEmphasis,0.91,0.84,0.96,t2w
3920,wavelet-LHH_glszm_LowGrayLevelZoneEmphasis,0.72,0.57,0.87,t2w
3921,wavelet-LHH_glszm_SizeZoneNonUniformity,0.71,0.55,0.86,t2w
3922,wavelet-LHH_glszm_SizeZoneNonUniformityNormalized,0.83,0.72,0.93,t2w
3923,wavelet-LHH_glszm_SmallAreaEmphasis,0.84,0.73,0.93,t2w
3924,wavelet-LHH_glszm_SmallAreaHighGrayLevelEmphasis,0.53,0.36,0.75,t2w
3925,wavelet-LHH_glszm_SmallAreaLowGrayLevelEmphasis,0.7,0.54,0.86,t2w
3926,wavelet-LHH_glszm_ZoneEntropy,0.84,0.73,0.93,t2w
3927,wavelet-LHH_glszm_ZonePercentage,0.95,0.91,0.98,t2w
3928,wavelet-LHH_glszm_ZoneVariance,0.99,0.99,1.0,t2w
3929,wavelet-LHH_ngtdm_Busyness,0.91,0.84,0.96,t2w
3930,wavelet-LHH_ngtdm_Coarseness,0.98,0.95,0.99,t2w
3931,wavelet-LHH_ngtdm_Complexity,0.6,0.43,0.79,t2w
3932,wavelet-LHH_ngtdm_Contrast,0.73,0.58,0.88,t2w
3933,wavelet-LHH_ngtdm_Strength,0.68,0.52,0.85,t2w
3934,wavelet-LHH_gldm_DependenceEntropy,0.96,0.93,0.99,t2w
3935,wavelet-LHH_gldm_DependenceNonUniformity,0.99,0.98,1.0,t2w
3936,wavelet-LHH_gldm_DependenceNonUniformityNormalized,0.98,0.97,0.99,t2w
3937,wavelet-LHH_gldm_DependenceVariance,0.97,0.94,0.99,t2w
3938,wavelet-LHH_gldm_GrayLevelNonUniformity,0.99,0.98,1.0,t2w
3939,wavelet-LHH_gldm_GrayLevelVariance,0.87,0.78,0.95,t2w
3940,wavelet-LHH_gldm_HighGrayLevelEmphasis,0.53,0.36,0.75,t2w
3941,wavelet-LHH_gldm_LargeDependenceEmphasis,0.99,0.99,1.0,t2w
3942,wavelet-LHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.49,0.32,0.71,t2w
3943,wavelet-LHH_gldm_LargeDependenceLowGrayLevelEmphasis,0.8,0.67,0.91,t2w
3944,wavelet-LHH_gldm_LowGrayLevelEmphasis,0.77,0.64,0.9,t2w
