,feature,icc_value,c_down,c_up,sequence
91,original_glcm_Imc1,0.98,0.96,0.99,dce
92,original_glcm_Imc2,1.0,0.99,1.0,dce
93,original_glcm_Imc2,0.99,0.99,1.0,adc
94,original_glcm_InverseVariance,1.0,1.0,1.0,dce
95,original_glcm_InverseVariance,0.99,0.99,1.0,adc
96,original_glcm_JointAverage,0.99,0.98,1.0,dce
97,original_glcm_JointAverage,0.79,0.66,0.9,adc
98,original_glcm_JointEnergy,1.0,0.99,1.0,dce
99,original_glcm_JointEnergy,1.0,0.99,1.0,adc
100,original_glcm_JointEntropy,1.0,1.0,1.0,dce
101,original_glcm_JointEntropy,0.99,0.98,1.0,adc
102,original_glcm_MCC,0.89,0.81,0.95,dce
103,original_glcm_MCC,0.95,0.9,0.98,adc
104,original_glcm_MaximumProbability,1.0,0.99,1.0,dce
105,original_glcm_MaximumProbability,1.0,0.99,1.0,adc
106,original_glcm_SumAverage,0.99,0.98,1.0,dce
107,original_glcm_SumAverage,0.79,0.66,0.9,adc
108,original_glcm_SumEntropy,1.0,1.0,1.0,dce
109,original_glcm_SumEntropy,0.99,0.99,1.0,adc
110,original_glcm_SumSquares,1.0,0.99,1.0,dce
111,original_glcm_SumSquares,0.99,0.98,1.0,adc
112,original_glrlm_GrayLevelNonUniformity,1.0,0.99,1.0,dce
113,original_glrlm_GrayLevelNonUniformity,1.0,0.99,1.0,adc
114,original_glrlm_GrayLevelNonUniformityNormalized,1.0,1.0,1.0,dce
115,original_glrlm_GrayLevelNonUniformityNormalized,0.99,0.99,1.0,adc
116,original_glrlm_GrayLevelVariance,0.99,0.99,1.0,dce
117,original_glrlm_GrayLevelVariance,0.99,0.97,0.99,adc
118,original_glrlm_HighGrayLevelRunEmphasis,0.99,0.98,1.0,dce
119,original_glrlm_HighGrayLevelRunEmphasis,0.8,0.67,0.91,adc
120,original_glrlm_LongRunEmphasis,1.0,0.99,1.0,dce
121,original_glrlm_LongRunEmphasis,0.99,0.99,1.0,adc
122,original_glrlm_LongRunHighGrayLevelEmphasis,0.99,0.98,1.0,dce
123,original_glrlm_LongRunHighGrayLevelEmphasis,0.79,0.66,0.91,adc
124,original_glrlm_LongRunLowGrayLevelEmphasis,0.98,0.97,0.99,dce
125,original_glrlm_LongRunLowGrayLevelEmphasis,0.9,0.83,0.96,adc
126,original_glrlm_LowGrayLevelRunEmphasis,0.95,0.91,0.98,dce
127,original_glrlm_LowGrayLevelRunEmphasis,0.9,0.82,0.96,adc
128,original_glrlm_RunEntropy,0.99,0.98,1.0,adc
129,original_glrlm_RunEntropy,1.0,1.0,1.0,dce
130,original_glrlm_RunLengthNonUniformity,1.0,0.99,1.0,adc
131,original_glrlm_RunLengthNonUniformity,1.0,0.99,1.0,dce
132,original_glrlm_RunLengthNonUniformityNormalized,0.99,0.99,1.0,adc
133,original_glrlm_RunLengthNonUniformityNormalized,1.0,1.0,1.0,dce
134,original_glrlm_RunPercentage,0.99,0.99,1.0,adc
135,original_glrlm_RunPercentage,1.0,1.0,1.0,dce
136,original_glrlm_RunVariance,0.99,0.99,1.0,adc
137,original_glrlm_RunVariance,0.99,0.99,1.0,dce
138,original_glrlm_ShortRunEmphasis,1.0,1.0,1.0,dce
139,original_glrlm_ShortRunEmphasis,0.99,0.99,1.0,adc
140,original_glrlm_ShortRunHighGrayLevelEmphasis,0.99,0.99,1.0,dce
141,original_glrlm_ShortRunHighGrayLevelEmphasis,0.8,0.67,0.91,adc
142,original_glrlm_ShortRunLowGrayLevelEmphasis,0.94,0.89,0.97,dce
143,original_glrlm_ShortRunLowGrayLevelEmphasis,0.9,0.82,0.96,adc
144,original_glszm_GrayLevelNonUniformity,0.99,0.99,1.0,dce
145,original_glszm_GrayLevelNonUniformity,1.0,0.99,1.0,adc
146,original_glszm_GrayLevelNonUniformityNormalized,1.0,0.99,1.0,dce
147,original_glszm_GrayLevelNonUniformityNormalized,0.98,0.97,0.99,adc
148,original_glszm_GrayLevelVariance,0.9,0.82,0.96,dce
149,original_glszm_GrayLevelVariance,0.97,0.94,0.99,adc
150,original_glszm_HighGrayLevelZoneEmphasis,0.98,0.96,0.99,dce
151,original_glszm_HighGrayLevelZoneEmphasis,0.79,0.66,0.91,adc
152,original_glszm_LargeAreaEmphasis,0.99,0.97,0.99,dce
153,original_glszm_LargeAreaEmphasis,0.99,0.98,1.0,adc
154,original_glszm_LargeAreaHighGrayLevelEmphasis,0.98,0.96,0.99,dce
155,original_glszm_LargeAreaHighGrayLevelEmphasis,0.77,0.63,0.9,adc
156,original_glszm_LargeAreaLowGrayLevelEmphasis,0.99,0.99,1.0,dce
157,original_glszm_LargeAreaLowGrayLevelEmphasis,0.93,0.87,0.97,adc
158,original_glszm_LowGrayLevelZoneEmphasis,0.91,0.83,0.96,dce
159,original_glszm_SizeZoneNonUniformity,0.99,0.98,1.0,dce
160,original_glszm_LowGrayLevelZoneEmphasis,0.89,0.8,0.95,adc
161,original_glszm_SizeZoneNonUniformity,0.99,0.99,1.0,adc
162,original_glszm_SizeZoneNonUniformityNormalized,0.98,0.96,0.99,dce
163,original_glszm_SizeZoneNonUniformityNormalized,0.95,0.9,0.98,adc
164,original_glszm_SmallAreaEmphasis,0.97,0.95,0.99,dce
165,original_glszm_SmallAreaEmphasis,0.95,0.91,0.98,adc
166,original_glszm_SmallAreaHighGrayLevelEmphasis,0.97,0.94,0.99,dce
167,original_glszm_SmallAreaHighGrayLevelEmphasis,0.79,0.66,0.91,adc
168,original_glszm_SmallAreaLowGrayLevelEmphasis,0.9,0.82,0.96,dce
169,original_glszm_SmallAreaLowGrayLevelEmphasis,0.89,0.81,0.95,adc
170,original_glszm_ZoneEntropy,0.99,0.99,1.0,dce
171,original_glszm_ZoneEntropy,0.99,0.97,0.99,adc
172,original_glszm_ZonePercentage,0.99,0.98,1.0,adc
173,original_glszm_ZonePercentage,1.0,1.0,1.0,dce
174,original_glszm_ZoneVariance,0.99,0.98,1.0,adc
175,original_glszm_ZoneVariance,0.99,0.97,0.99,dce
176,original_ngtdm_Busyness,0.86,0.76,0.94,adc
177,original_ngtdm_Busyness,0.99,0.99,1.0,dce
178,original_ngtdm_Coarseness,0.99,0.97,0.99,adc
179,original_ngtdm_Coarseness,0.98,0.96,0.99,dce
180,original_ngtdm_Complexity,0.94,0.89,0.98,adc
181,original_ngtdm_Complexity,0.93,0.87,0.97,dce
182,original_ngtdm_Contrast,0.97,0.94,0.99,adc
183,original_ngtdm_Strength,0.87,0.78,0.95,adc
184,original_ngtdm_Contrast,0.99,0.98,1.0,dce
185,original_gldm_DependenceEntropy,0.99,0.99,1.0,adc
186,original_ngtdm_Strength,0.58,0.4,0.78,dce
187,original_gldm_DependenceNonUniformity,1.0,0.99,1.0,adc
188,original_gldm_DependenceEntropy,1.0,1.0,1.0,dce
189,original_gldm_DependenceNonUniformityNormalized,0.99,0.99,1.0,adc
190,original_gldm_DependenceNonUniformity,0.99,0.99,1.0,dce
191,original_gldm_DependenceVariance,0.99,0.99,1.0,adc
