feature,rank
adc_original_firstorder_Minimum,89
sub_wout_original_glcm_DifferenceVariance,88
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,87
sub_wout_original_glszm_GrayLevelVariance,86
adc_original_firstorder_Mean,85
adc_original_firstorder_10Percentile,84
t2w_original_glrlm_GrayLevelVariance,83
t2w_original_glcm_Idmn,82
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,81
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,80
sub_win_original_glcm_ClusterShade,79
sub_wout_original_firstorder_RootMeanSquared,78
sub_wout_original_firstorder_Minimum,77
adc_original_glrlm_LongRunEmphasis,76
adc_original_glcm_ClusterShade,75
sub_wout_original_firstorder_Uniformity,74
sub_wout_original_glszm_ZoneEntropy,73
sub_wout_original_firstorder_Mean,72
sub_wout_original_glcm_Imc1,71
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,70
t2w_original_glrlm_RunEntropy,69
sub_win_original_glcm_Imc1,68
sub_wout_original_firstorder_10Percentile,67
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,66
sub_win_original_glszm_ZoneEntropy,65
t2w_original_firstorder_90Percentile,64
sub_wout_original_firstorder_Range,63
sub_win_original_firstorder_Range,62
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,61
sub_win_original_firstorder_Mean,60
sub_win_original_glcm_Id,59
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,58
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,57
adc_original_glcm_Idmn,56
t2w_original_glcm_JointEntropy,55
sub_wout_original_glcm_JointEntropy,54
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,53
sub_wout_original_glszm_ZoneVariance,52
adc_original_glcm_JointEntropy,51
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,50
sub_win_original_glcm_SumSquares,49
t2w_original_glszm_SmallAreaEmphasis,48
adc_original_glcm_Correlation,47
adc_original_glcm_ClusterProminence,46
sub_wout_original_firstorder_InterquartileRange,45
adc_original_glszm_ZoneEntropy,44
adc_original_glcm_DifferenceVariance,43
sub_wout_original_firstorder_Maximum,42
sub_wout_original_glcm_ClusterProminence,41
sub_wout_original_glcm_ClusterTendency,40
sub_win_original_glszm_GrayLevelVariance,39
sub_win_original_glcm_MaximumProbability,38
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,37
t2w_original_glcm_SumEntropy,36
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,35
t2w_original_glcm_InverseVariance,34
sub_wout_original_glcm_JointAverage,33
sub_win_original_glcm_SumEntropy,32
t2w_original_glszm_ZoneEntropy,31
sub_wout_original_firstorder_Variance,30
adc_original_glszm_SmallAreaEmphasis,29
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,28
adc_original_firstorder_Kurtosis,27
t2w_original_firstorder_Median,26
t2w_original_glcm_ClusterShade,25
t2w_original_glszm_GrayLevelVariance,24
sub_win_original_glcm_ClusterProminence,23
sub_win_original_glcm_Idmn,22
t2w_original_glcm_ClusterProminence,21
sub_wout_original_glcm_SumEntropy,20
sub_win_original_glszm_SizeZoneNonUniformityNormalized,19
t2w_original_glszm_SizeZoneNonUniformityNormalized,18
t2w_original_glcm_MaximumProbability,17
adc_original_glszm_SizeZoneNonUniformityNormalized,16
t2w_original_glcm_ClusterTendency,15
adc_original_firstorder_Maximum,14
adc_original_glcm_MaximumProbability,13
t2w_original_firstorder_Skewness,12
sub_wout_original_glcm_SumSquares,11
sub_wout_original_glcm_InverseVariance,10
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,9
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,8
t2w_original_firstorder_10Percentile,7
sub_wout_original_firstorder_90Percentile,6
sub_wout_original_firstorder_Median,5
sub_win_original_glcm_Autocorrelation,4
sub_win_original_firstorder_10Percentile,3
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,2
sub_win_original_firstorder_90Percentile,1
