feature,rank
sub_wout_original_glszm_ZoneVariance,89
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,88
adc_original_firstorder_10Percentile,87
sub_wout_original_glcm_Imc1,86
sub_wout_original_glszm_GrayLevelVariance,85
adc_original_glcm_ClusterProminence,84
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,83
sub_win_original_glcm_MaximumProbability,82
sub_wout_original_firstorder_Variance,81
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,80
sub_win_original_glcm_Autocorrelation,79
sub_wout_original_firstorder_Minimum,78
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,77
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,76
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,75
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,74
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,73
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,72
adc_original_glcm_Idmn,71
t2w_original_glrlm_GrayLevelVariance,70
t2w_original_glcm_Idmn,69
t2w_original_glcm_SumEntropy,68
sub_win_original_firstorder_Range,67
sub_wout_original_glszm_ZoneEntropy,66
t2w_original_glszm_ZoneEntropy,65
sub_win_original_firstorder_Mean,64
t2w_original_glszm_GrayLevelVariance,63
sub_wout_original_glcm_DifferenceVariance,62
t2w_original_glcm_InverseVariance,61
sub_wout_original_firstorder_Maximum,60
adc_original_firstorder_Kurtosis,59
t2w_original_glszm_SmallAreaEmphasis,58
t2w_original_glcm_JointEntropy,57
adc_original_firstorder_Minimum,56
sub_win_original_glcm_SumSquares,55
sub_win_original_glcm_ClusterShade,54
sub_wout_original_firstorder_Uniformity,53
adc_original_glrlm_LongRunEmphasis,52
adc_original_glcm_MaximumProbability,51
sub_win_original_glcm_Id,50
sub_win_original_glcm_SumEntropy,49
sub_wout_original_firstorder_Median,48
adc_original_glszm_SizeZoneNonUniformityNormalized,47
sub_wout_original_firstorder_RootMeanSquared,46
t2w_original_firstorder_Skewness,45
sub_wout_original_glcm_JointEntropy,44
sub_wout_original_firstorder_Mean,43
sub_wout_original_glcm_ClusterProminence,42
sub_wout_original_firstorder_Range,41
sub_win_original_glszm_ZoneEntropy,40
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,39
sub_wout_original_firstorder_InterquartileRange,38
t2w_original_glszm_SizeZoneNonUniformityNormalized,37
t2w_original_glrlm_RunEntropy,36
adc_original_firstorder_Maximum,35
sub_wout_original_glcm_SumSquares,34
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,33
adc_original_firstorder_Mean,32
t2w_original_glcm_MaximumProbability,31
adc_original_glcm_Correlation,30
sub_wout_original_glcm_SumEntropy,29
sub_wout_original_glcm_InverseVariance,28
t2w_original_firstorder_90Percentile,27
adc_original_glcm_JointEntropy,26
adc_original_glcm_DifferenceVariance,25
t2w_original_firstorder_10Percentile,24
t2w_original_glcm_ClusterProminence,23
t2w_original_firstorder_Median,22
sub_win_original_glcm_ClusterProminence,21
sub_wout_original_glcm_JointAverage,20
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,19
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,18
t2w_original_glcm_ClusterShade,17
sub_win_original_glszm_SizeZoneNonUniformityNormalized,16
sub_win_original_glszm_GrayLevelVariance,15
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,14
adc_original_glszm_ZoneEntropy,13
adc_original_glcm_ClusterShade,12
sub_win_original_glcm_Idmn,11
sub_win_original_glcm_Imc1,10
sub_win_original_firstorder_90Percentile,9
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,8
adc_original_glszm_SmallAreaEmphasis,7
sub_wout_original_firstorder_90Percentile,6
sub_wout_original_glcm_ClusterTendency,5
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,4
sub_win_original_firstorder_10Percentile,3
t2w_original_glcm_ClusterTendency,2
sub_wout_original_firstorder_10Percentile,1
