feature,rank
sub_wout_original_glcm_ClusterProminence,89
adc_original_firstorder_Minimum,23
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,37
sub_wout_original_firstorder_Maximum,75
adc_original_glcm_ClusterShade,14
sub_wout_original_firstorder_Mean,79
sub_win_original_glcm_Autocorrelation,63
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,70
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,74
sub_wout_original_firstorder_10Percentile,61
adc_original_firstorder_10Percentile,68
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,47
sub_win_original_glcm_ClusterProminence,46
sub_wout_original_firstorder_Minimum,43
sub_wout_original_firstorder_Range,64
sub_wout_original_glcm_ClusterTendency,80
t2w_original_glszm_GrayLevelVariance,53
sub_wout_original_firstorder_RootMeanSquared,88
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,62
sub_wout_original_glcm_JointAverage,54
sub_win_original_firstorder_Mean,32
sub_wout_original_firstorder_Variance,82
sub_wout_original_firstorder_InterquartileRange,87
sub_win_original_glcm_Idmn,84
sub_win_original_glcm_ClusterShade,85
sub_wout_original_firstorder_Median,34
sub_wout_original_glcm_SumEntropy,78
sub_win_original_firstorder_10Percentile,65
adc_original_glszm_SmallAreaEmphasis,19
sub_wout_original_glszm_GrayLevelVariance,55
t2w_original_glcm_Idmn,20
sub_win_original_glszm_GrayLevelVariance,15
t2w_original_firstorder_Skewness,28
sub_wout_original_glcm_InverseVariance,25
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,60
t2w_original_firstorder_10Percentile,26
adc_original_firstorder_Maximum,29
sub_win_original_firstorder_Range,76
sub_wout_original_glcm_SumSquares,83
t2w_original_glcm_ClusterProminence,48
sub_wout_original_firstorder_90Percentile,86
t2w_original_glcm_SumEntropy,6
sub_wout_original_glszm_ZoneEntropy,10
adc_original_glcm_MaximumProbability,49
t2w_original_glrlm_GrayLevelVariance,67
t2w_original_glszm_ZoneEntropy,11
sub_win_original_glcm_SumSquares,18
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,73
sub_win_original_firstorder_90Percentile,58
t2w_original_glcm_ClusterShade,35
adc_original_glrlm_LongRunEmphasis,39
adc_original_firstorder_Mean,52
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,57
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,21
adc_original_glcm_Correlation,45
t2w_original_glcm_InverseVariance,12
sub_win_original_glcm_Id,42
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,16
sub_wout_original_glcm_DifferenceVariance,40
adc_original_glszm_ZoneEntropy,50
t2w_original_glrlm_RunEntropy,2
sub_wout_original_firstorder_Uniformity,7
t2w_original_firstorder_Median,44
adc_original_glszm_SizeZoneNonUniformityNormalized,8
sub_wout_original_glcm_Imc1,24
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,69
adc_original_glcm_ClusterProminence,31
adc_original_glcm_DifferenceVariance,71
t2w_original_firstorder_90Percentile,81
t2w_original_glszm_SmallAreaEmphasis,13
adc_original_glcm_JointEntropy,72
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,56
t2w_original_glcm_ClusterTendency,36
sub_win_original_glcm_SumEntropy,27
sub_wout_original_glszm_ZoneVariance,17
adc_original_glcm_Idmn,59
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,77
adc_original_firstorder_Kurtosis,33
t2w_original_glcm_MaximumProbability,22
sub_win_original_glszm_ZoneEntropy,66
t2w_original_glszm_SizeZoneNonUniformityNormalized,1
t2w_original_glcm_JointEntropy,9
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,3
sub_win_original_glszm_SizeZoneNonUniformityNormalized,4
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,51
sub_win_original_glcm_MaximumProbability,38
sub_win_original_glcm_Imc1,30
sub_wout_original_glcm_JointEntropy,5
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,41
