feature,rank
sub_wout_original_glcm_ClusterProminence,45
adc_original_firstorder_Minimum,88
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,21
sub_wout_original_firstorder_Maximum,89
adc_original_glcm_ClusterShade,34
sub_wout_original_firstorder_Mean,46
sub_win_original_glcm_Autocorrelation,62
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,86
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,67
sub_wout_original_firstorder_10Percentile,17
adc_original_firstorder_10Percentile,68
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,64
sub_win_original_glcm_ClusterProminence,28
sub_wout_original_firstorder_Minimum,39
sub_wout_original_firstorder_Range,72
sub_wout_original_glcm_ClusterTendency,84
t2w_original_glszm_GrayLevelVariance,31
sub_wout_original_firstorder_RootMeanSquared,85
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,60
sub_wout_original_glcm_JointAverage,70
sub_win_original_firstorder_Mean,56
sub_wout_original_firstorder_Variance,80
sub_wout_original_firstorder_InterquartileRange,61
sub_win_original_glcm_Idmn,69
sub_win_original_glcm_ClusterShade,42
sub_wout_original_firstorder_Median,52
sub_wout_original_glcm_SumEntropy,87
sub_win_original_firstorder_10Percentile,54
adc_original_glszm_SmallAreaEmphasis,44
sub_wout_original_glszm_GrayLevelVariance,82
t2w_original_glcm_Idmn,22
sub_win_original_glszm_GrayLevelVariance,12
t2w_original_firstorder_Skewness,15
sub_wout_original_glcm_InverseVariance,25
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,65
t2w_original_firstorder_10Percentile,36
adc_original_firstorder_Maximum,5
sub_win_original_firstorder_Range,77
sub_wout_original_glcm_SumSquares,66
t2w_original_glcm_ClusterProminence,30
sub_wout_original_firstorder_90Percentile,59
t2w_original_glcm_SumEntropy,53
sub_wout_original_glszm_ZoneEntropy,23
adc_original_glcm_MaximumProbability,83
t2w_original_glrlm_GrayLevelVariance,48
t2w_original_glszm_ZoneEntropy,41
sub_win_original_glcm_SumSquares,8
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,18
sub_win_original_firstorder_90Percentile,38
t2w_original_glcm_ClusterShade,6
adc_original_glrlm_LongRunEmphasis,78
adc_original_firstorder_Mean,49
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,10
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,1
adc_original_glcm_Correlation,16
t2w_original_glcm_InverseVariance,20
sub_win_original_glcm_Id,76
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,2
sub_wout_original_glcm_DifferenceVariance,26
adc_original_glszm_ZoneEntropy,40
t2w_original_glrlm_RunEntropy,75
sub_wout_original_firstorder_Uniformity,43
t2w_original_firstorder_Median,7
adc_original_glszm_SizeZoneNonUniformityNormalized,29
sub_wout_original_glcm_Imc1,9
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,58
adc_original_glcm_ClusterProminence,71
adc_original_glcm_DifferenceVariance,57
t2w_original_firstorder_90Percentile,74
t2w_original_glszm_SmallAreaEmphasis,73
adc_original_glcm_JointEntropy,63
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,47
t2w_original_glcm_ClusterTendency,32
sub_win_original_glcm_SumEntropy,3
sub_wout_original_glszm_ZoneVariance,4
adc_original_glcm_Idmn,55
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,51
adc_original_firstorder_Kurtosis,50
t2w_original_glcm_MaximumProbability,33
sub_win_original_glszm_ZoneEntropy,11
t2w_original_glszm_SizeZoneNonUniformityNormalized,37
t2w_original_glcm_JointEntropy,35
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,81
sub_win_original_glszm_SizeZoneNonUniformityNormalized,13
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,79
sub_win_original_glcm_MaximumProbability,19
sub_win_original_glcm_Imc1,14
sub_wout_original_glcm_JointEntropy,27
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,24
