feature,rank
sub_wout_original_glcm_ClusterProminence,47
adc_original_firstorder_Minimum,1
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,26
sub_wout_original_firstorder_Maximum,76
adc_original_glcm_ClusterShade,74
sub_wout_original_firstorder_Mean,73
sub_win_original_glcm_Autocorrelation,18
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,84
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,29
sub_wout_original_firstorder_10Percentile,49
adc_original_firstorder_10Percentile,69
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,33
sub_win_original_glcm_ClusterProminence,41
sub_wout_original_firstorder_Minimum,89
sub_wout_original_firstorder_Range,87
sub_wout_original_glcm_ClusterTendency,7
t2w_original_glszm_GrayLevelVariance,48
sub_wout_original_firstorder_RootMeanSquared,82
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,81
sub_wout_original_glcm_JointAverage,77
sub_win_original_firstorder_Mean,54
sub_wout_original_firstorder_Variance,83
sub_wout_original_firstorder_InterquartileRange,80
sub_win_original_glcm_Idmn,57
sub_win_original_glcm_ClusterShade,36
sub_wout_original_firstorder_Median,68
sub_wout_original_glcm_SumEntropy,66
sub_win_original_firstorder_10Percentile,55
adc_original_glszm_SmallAreaEmphasis,4
sub_wout_original_glszm_GrayLevelVariance,75
t2w_original_glcm_Idmn,58
sub_win_original_glszm_GrayLevelVariance,62
t2w_original_firstorder_Skewness,19
sub_wout_original_glcm_InverseVariance,32
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,50
t2w_original_firstorder_10Percentile,23
adc_original_firstorder_Maximum,38
sub_win_original_firstorder_Range,43
sub_wout_original_glcm_SumSquares,16
t2w_original_glcm_ClusterProminence,15
sub_wout_original_firstorder_90Percentile,64
t2w_original_glcm_SumEntropy,14
sub_wout_original_glszm_ZoneEntropy,8
adc_original_glcm_MaximumProbability,72
t2w_original_glrlm_GrayLevelVariance,63
t2w_original_glszm_ZoneEntropy,24
sub_win_original_glcm_SumSquares,45
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,35
sub_win_original_firstorder_90Percentile,60
t2w_original_glcm_ClusterShade,6
adc_original_glrlm_LongRunEmphasis,67
adc_original_firstorder_Mean,40
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,9
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,79
adc_original_glcm_Correlation,25
t2w_original_glcm_InverseVariance,78
sub_win_original_glcm_Id,31
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,42
sub_wout_original_glcm_DifferenceVariance,44
adc_original_glszm_ZoneEntropy,39
t2w_original_glrlm_RunEntropy,28
sub_wout_original_firstorder_Uniformity,51
t2w_original_firstorder_Median,11
adc_original_glszm_SizeZoneNonUniformityNormalized,37
sub_wout_original_glcm_Imc1,17
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,71
adc_original_glcm_ClusterProminence,88
adc_original_glcm_DifferenceVariance,65
t2w_original_firstorder_90Percentile,70
t2w_original_glszm_SmallAreaEmphasis,85
adc_original_glcm_JointEntropy,46
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,12
t2w_original_glcm_ClusterTendency,53
sub_win_original_glcm_SumEntropy,5
sub_wout_original_glszm_ZoneVariance,59
adc_original_glcm_Idmn,86
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,61
adc_original_firstorder_Kurtosis,56
t2w_original_glcm_MaximumProbability,20
sub_win_original_glszm_ZoneEntropy,22
t2w_original_glszm_SizeZoneNonUniformityNormalized,34
t2w_original_glcm_JointEntropy,27
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,3
sub_win_original_glszm_SizeZoneNonUniformityNormalized,13
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,52
sub_win_original_glcm_MaximumProbability,2
sub_win_original_glcm_Imc1,10
sub_wout_original_glcm_JointEntropy,30
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,21
