feature,rank
sub_wout_original_glcm_ClusterProminence,49
adc_original_firstorder_Minimum,26
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,38
sub_wout_original_firstorder_Maximum,53
adc_original_glcm_ClusterShade,27
sub_wout_original_firstorder_Mean,77
sub_win_original_glcm_Autocorrelation,72
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,50
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,76
sub_wout_original_firstorder_10Percentile,40
adc_original_firstorder_10Percentile,34
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,48
sub_win_original_glcm_ClusterProminence,33
sub_wout_original_firstorder_Minimum,32
sub_wout_original_firstorder_Range,29
sub_wout_original_glcm_ClusterTendency,81
t2w_original_glszm_GrayLevelVariance,44
sub_wout_original_firstorder_RootMeanSquared,85
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,22
sub_wout_original_glcm_JointAverage,25
sub_win_original_firstorder_Mean,58
sub_wout_original_firstorder_Variance,86
sub_wout_original_firstorder_InterquartileRange,87
sub_win_original_glcm_Idmn,55
sub_win_original_glcm_ClusterShade,67
sub_wout_original_firstorder_Median,9
sub_wout_original_glcm_SumEntropy,62
sub_win_original_firstorder_10Percentile,84
adc_original_glszm_SmallAreaEmphasis,74
sub_wout_original_glszm_GrayLevelVariance,35
t2w_original_glcm_Idmn,61
sub_win_original_glszm_GrayLevelVariance,3
t2w_original_firstorder_Skewness,30
sub_wout_original_glcm_InverseVariance,1
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,12
t2w_original_firstorder_10Percentile,13
adc_original_firstorder_Maximum,6
sub_win_original_firstorder_Range,78
sub_wout_original_glcm_SumSquares,69
t2w_original_glcm_ClusterProminence,71
sub_wout_original_firstorder_90Percentile,80
t2w_original_glcm_SumEntropy,4
sub_wout_original_glszm_ZoneEntropy,51
adc_original_glcm_MaximumProbability,24
t2w_original_glrlm_GrayLevelVariance,88
t2w_original_glszm_ZoneEntropy,83
sub_win_original_glcm_SumSquares,56
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,65
sub_win_original_firstorder_90Percentile,75
t2w_original_glcm_ClusterShade,57
adc_original_glrlm_LongRunEmphasis,31
adc_original_firstorder_Mean,21
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,43
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,17
adc_original_glcm_Correlation,47
t2w_original_glcm_InverseVariance,37
sub_win_original_glcm_Id,18
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,10
sub_wout_original_glcm_DifferenceVariance,39
adc_original_glszm_ZoneEntropy,15
t2w_original_glrlm_RunEntropy,11
sub_wout_original_firstorder_Uniformity,64
t2w_original_firstorder_Median,52
adc_original_glszm_SizeZoneNonUniformityNormalized,5
sub_wout_original_glcm_Imc1,19
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,28
adc_original_glcm_ClusterProminence,20
adc_original_glcm_DifferenceVariance,60
t2w_original_firstorder_90Percentile,73
t2w_original_glszm_SmallAreaEmphasis,70
adc_original_glcm_JointEntropy,68
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,63
t2w_original_glcm_ClusterTendency,66
sub_win_original_glcm_SumEntropy,54
sub_wout_original_glszm_ZoneVariance,36
adc_original_glcm_Idmn,42
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,46
adc_original_firstorder_Kurtosis,79
t2w_original_glcm_MaximumProbability,14
sub_win_original_glszm_ZoneEntropy,89
t2w_original_glszm_SizeZoneNonUniformityNormalized,7
t2w_original_glcm_JointEntropy,59
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,2
sub_win_original_glszm_SizeZoneNonUniformityNormalized,8
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,41
sub_win_original_glcm_MaximumProbability,16
sub_win_original_glcm_Imc1,82
sub_wout_original_glcm_JointEntropy,23
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,45
