feature,rank
sub_wout_original_glszm_GrayLevelVariance,89
adc_original_firstorder_Kurtosis,88
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,87
t2w_original_glcm_InverseVariance,86
sub_wout_original_firstorder_InterquartileRange,85
adc_original_firstorder_Mean,84
sub_wout_original_firstorder_Uniformity,83
sub_wout_original_glcm_ClusterProminence,82
adc_original_glcm_Correlation,81
t2w_original_glszm_SmallAreaEmphasis,80
adc_original_glrlm_LongRunEmphasis,79
t2w_original_firstorder_90Percentile,78
sub_wout_original_glcm_Imc1,77
sub_win_original_glcm_SumEntropy,76
t2w_original_glcm_SumEntropy,75
t2w_original_glcm_JointEntropy,74
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,73
t2w_original_glcm_Idmn,72
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,71
sub_wout_original_firstorder_Variance,70
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,69
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,68
adc_original_firstorder_Maximum,67
sub_win_original_glcm_SumSquares,66
t2w_original_firstorder_Median,65
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,64
sub_wout_original_firstorder_Mean,63
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,62
sub_win_original_glcm_Imc1,61
sub_win_original_glcm_ClusterShade,60
adc_original_glszm_SmallAreaEmphasis,59
t2w_original_glrlm_RunEntropy,58
sub_win_original_glcm_ClusterProminence,57
sub_wout_original_firstorder_Maximum,56
sub_win_original_glszm_GrayLevelVariance,55
t2w_original_firstorder_Skewness,54
adc_original_firstorder_10Percentile,53
adc_original_glszm_ZoneEntropy,52
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,51
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,50
adc_original_glcm_Idmn,49
t2w_original_glrlm_GrayLevelVariance,48
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,47
sub_wout_original_glcm_JointEntropy,46
adc_original_glcm_MaximumProbability,45
adc_original_glcm_ClusterProminence,44
sub_win_original_glcm_Autocorrelation,43
t2w_original_glszm_SizeZoneNonUniformityNormalized,42
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,41
sub_wout_original_glszm_ZoneEntropy,40
sub_win_original_firstorder_Mean,39
t2w_original_glcm_MaximumProbability,38
sub_wout_original_firstorder_Range,37
sub_wout_original_glcm_InverseVariance,36
sub_wout_original_glcm_SumSquares,35
t2w_original_firstorder_10Percentile,34
sub_win_original_firstorder_Range,33
t2w_original_glszm_GrayLevelVariance,32
sub_win_original_glszm_SizeZoneNonUniformityNormalized,31
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,30
sub_wout_original_firstorder_90Percentile,29
sub_win_original_glcm_MaximumProbability,28
t2w_original_glszm_ZoneEntropy,27
adc_original_glcm_ClusterShade,26
adc_original_glcm_DifferenceVariance,25
t2w_original_glcm_ClusterShade,24
sub_wout_original_glszm_ZoneVariance,23
sub_wout_original_glcm_ClusterTendency,22
sub_wout_original_firstorder_Median,21
sub_wout_original_firstorder_10Percentile,20
adc_original_firstorder_Minimum,19
t2w_original_glcm_ClusterProminence,18
adc_original_glszm_SizeZoneNonUniformityNormalized,17
sub_win_original_firstorder_90Percentile,16
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,15
sub_win_original_glszm_ZoneEntropy,14
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,13
sub_wout_original_firstorder_Minimum,12
sub_wout_original_firstorder_RootMeanSquared,11
sub_win_original_glcm_Idmn,10
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,9
sub_win_original_firstorder_10Percentile,8
sub_wout_original_glcm_DifferenceVariance,7
sub_win_original_glcm_Id,6
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,5
sub_wout_original_glcm_JointAverage,4
adc_original_glcm_JointEntropy,3
t2w_original_glcm_ClusterTendency,2
sub_wout_original_glcm_SumEntropy,1
