feature,rank
t2w_original_glszm_SizeZoneNonUniformityNormalized,89
adc_original_glszm_SmallAreaEmphasis,88
sub_wout_original_firstorder_Minimum,87
adc_original_glcm_ClusterProminence,86
t2w_original_firstorder_10Percentile,85
adc_original_firstorder_Kurtosis,84
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,83
sub_wout_original_glszm_ZoneEntropy,82
adc_original_firstorder_10Percentile,81
sub_wout_original_firstorder_Range,80
sub_win_original_glcm_ClusterProminence,79
t2w_original_glcm_Idmn,78
adc_original_firstorder_Minimum,77
sub_win_original_glcm_MaximumProbability,76
t2w_original_glcm_ClusterShade,75
t2w_original_glcm_MaximumProbability,74
sub_win_original_glcm_Autocorrelation,73
adc_original_glcm_Idmn,72
adc_original_glcm_ClusterShade,71
sub_wout_original_firstorder_Median,70
t2w_original_glcm_SumEntropy,69
adc_original_firstorder_Mean,68
sub_wout_original_firstorder_Maximum,67
sub_win_original_glcm_SumSquares,66
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,65
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,64
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,63
sub_win_original_glszm_ZoneEntropy,62
sub_win_original_glcm_Id,61
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,60
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,59
t2w_original_firstorder_Skewness,58
sub_wout_original_glcm_ClusterTendency,57
adc_original_glcm_JointEntropy,56
sub_wout_original_glszm_GrayLevelVariance,55
sub_win_original_glcm_Imc1,54
sub_win_original_firstorder_Range,53
sub_win_original_firstorder_Mean,52
t2w_original_glszm_ZoneEntropy,51
adc_original_glcm_DifferenceVariance,50
sub_wout_original_firstorder_Variance,49
adc_original_glrlm_LongRunEmphasis,48
sub_wout_original_glszm_ZoneVariance,47
sub_wout_original_glcm_InverseVariance,46
sub_wout_original_glcm_JointAverage,45
adc_original_firstorder_Maximum,44
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,43
t2w_original_glcm_JointEntropy,42
sub_win_original_glcm_Idmn,41
t2w_original_firstorder_90Percentile,40
t2w_original_firstorder_Median,39
t2w_original_glcm_InverseVariance,38
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,37
t2w_original_glszm_GrayLevelVariance,36
sub_wout_original_firstorder_InterquartileRange,35
sub_win_original_glszm_GrayLevelVariance,34
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,33
t2w_original_glszm_SmallAreaEmphasis,32
sub_wout_original_firstorder_Mean,31
sub_wout_original_glcm_DifferenceVariance,30
sub_wout_original_firstorder_Uniformity,29
t2w_original_glcm_ClusterTendency,28
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,27
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,26
t2w_original_glrlm_GrayLevelVariance,25
sub_win_original_firstorder_10Percentile,24
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,23
sub_wout_original_glcm_Imc1,22
t2w_original_glrlm_RunEntropy,21
sub_win_original_glszm_SizeZoneNonUniformityNormalized,20
sub_wout_original_firstorder_RootMeanSquared,19
sub_wout_original_glcm_ClusterProminence,18
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,17
sub_win_original_glcm_ClusterShade,16
sub_wout_original_glcm_JointEntropy,15
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,14
sub_wout_original_glcm_SumSquares,13
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,12
sub_win_original_glcm_SumEntropy,11
adc_original_glszm_ZoneEntropy,10
adc_original_glcm_Correlation,9
t2w_original_glcm_ClusterProminence,8
sub_wout_original_glcm_SumEntropy,7
adc_original_glcm_MaximumProbability,6
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,5
sub_wout_original_firstorder_10Percentile,4
sub_wout_original_firstorder_90Percentile,3
sub_win_original_firstorder_90Percentile,2
adc_original_glszm_SizeZoneNonUniformityNormalized,1
