feature,rank
sub_win_original_firstorder_Range,89
sub_wout_original_glszm_GrayLevelVariance,88
sub_win_original_glcm_Idmn,87
sub_wout_original_glcm_Imc1,86
sub_wout_original_glcm_SumEntropy,85
sub_wout_original_glcm_JointAverage,84
adc_original_firstorder_Maximum,83
sub_win_original_glcm_MaximumProbability,82
adc_original_glcm_Idmn,81
t2w_original_firstorder_Skewness,80
sub_win_original_glszm_ZoneEntropy,79
t2w_original_glszm_GrayLevelVariance,78
t2w_original_glcm_JointEntropy,77
adc_original_firstorder_Minimum,76
adc_original_glcm_Correlation,75
adc_original_firstorder_10Percentile,74
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,73
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,72
sub_wout_original_firstorder_RootMeanSquared,71
sub_wout_original_firstorder_Range,70
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,69
sub_wout_original_glcm_SumSquares,68
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,67
t2w_original_glrlm_GrayLevelVariance,66
t2w_original_glcm_SumEntropy,65
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,64
t2w_original_glszm_ZoneEntropy,63
adc_original_glszm_ZoneEntropy,62
adc_original_firstorder_Mean,61
sub_wout_original_firstorder_Minimum,60
sub_win_original_glcm_ClusterShade,59
t2w_original_glcm_ClusterTendency,58
sub_win_original_firstorder_Mean,57
t2w_original_glszm_SmallAreaEmphasis,56
sub_win_original_glcm_ClusterProminence,55
sub_wout_original_glcm_ClusterTendency,54
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,53
sub_win_original_glszm_GrayLevelVariance,52
adc_original_glcm_DifferenceVariance,51
sub_win_original_glcm_SumEntropy,50
sub_wout_original_glszm_ZoneVariance,49
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,48
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,47
sub_wout_original_firstorder_10Percentile,46
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,45
sub_wout_original_firstorder_Uniformity,44
t2w_original_firstorder_10Percentile,43
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,42
t2w_original_firstorder_Median,41
sub_wout_original_glcm_DifferenceVariance,40
t2w_original_glcm_ClusterShade,39
sub_wout_original_glszm_ZoneEntropy,38
sub_wout_original_firstorder_Maximum,37
adc_original_glrlm_LongRunEmphasis,36
sub_wout_original_glcm_InverseVariance,35
t2w_original_glcm_Idmn,34
sub_wout_original_firstorder_Mean,33
t2w_original_glrlm_RunEntropy,32
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,31
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,30
t2w_original_glcm_InverseVariance,29
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,28
sub_win_original_glcm_Id,27
adc_original_glszm_SizeZoneNonUniformityNormalized,26
sub_win_original_glcm_SumSquares,25
adc_original_glcm_MaximumProbability,24
sub_win_original_glcm_Imc1,23
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,22
sub_wout_original_firstorder_InterquartileRange,21
sub_wout_original_firstorder_Variance,20
adc_original_glszm_SmallAreaEmphasis,19
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,18
adc_original_glcm_ClusterProminence,17
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,16
t2w_original_glcm_MaximumProbability,15
sub_wout_original_firstorder_90Percentile,14
sub_wout_original_glcm_JointEntropy,13
t2w_original_glszm_SizeZoneNonUniformityNormalized,12
sub_win_original_glcm_Autocorrelation,11
sub_wout_original_firstorder_Median,10
sub_win_original_firstorder_10Percentile,9
sub_wout_original_glcm_ClusterProminence,8
adc_original_firstorder_Kurtosis,7
adc_original_glcm_JointEntropy,6
adc_original_glcm_ClusterShade,5
sub_win_original_firstorder_90Percentile,4
t2w_original_firstorder_90Percentile,3
t2w_original_glcm_ClusterProminence,2
sub_win_original_glszm_SizeZoneNonUniformityNormalized,1
