feature,rank
sub_wout_original_firstorder_Variance,89
sub_win_original_firstorder_Range,88
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,87
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,86
t2w_original_glcm_Idmn,85
sub_wout_original_firstorder_RootMeanSquared,84
sub_wout_original_glcm_DifferenceVariance,83
adc_original_firstorder_10Percentile,82
sub_win_original_glcm_Imc1,81
sub_wout_original_firstorder_Uniformity,80
adc_original_firstorder_Mean,79
sub_win_original_glcm_SumEntropy,78
sub_wout_original_glcm_JointAverage,77
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,76
sub_wout_original_firstorder_Mean,75
t2w_original_glszm_GrayLevelVariance,74
adc_original_glcm_MaximumProbability,73
t2w_original_glszm_SmallAreaEmphasis,72
sub_win_original_glcm_Id,71
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,70
t2w_original_glrlm_GrayLevelVariance,69
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,68
sub_wout_original_glcm_Imc1,67
adc_original_glszm_SizeZoneNonUniformityNormalized,66
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,65
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,64
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,63
adc_original_firstorder_Minimum,62
adc_original_glcm_Correlation,61
adc_original_firstorder_Maximum,60
adc_original_glrlm_LongRunEmphasis,59
adc_original_glcm_DifferenceVariance,58
sub_win_original_glszm_SizeZoneNonUniformityNormalized,57
sub_wout_original_glszm_ZoneVariance,56
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,55
sub_wout_original_glszm_GrayLevelVariance,54
sub_win_original_glcm_Idmn,53
adc_original_glcm_ClusterProminence,52
sub_wout_original_glcm_ClusterProminence,51
adc_original_glcm_Idmn,50
t2w_original_glcm_InverseVariance,49
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,48
t2w_original_glcm_SumEntropy,47
adc_original_glcm_ClusterShade,46
sub_wout_original_firstorder_Maximum,45
sub_win_original_glszm_GrayLevelVariance,44
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,43
sub_win_original_glcm_Autocorrelation,42
adc_original_glszm_SmallAreaEmphasis,41
sub_wout_original_firstorder_10Percentile,40
t2w_original_glrlm_RunEntropy,39
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,38
sub_wout_original_firstorder_Minimum,37
sub_win_original_glszm_ZoneEntropy,36
sub_wout_original_glcm_SumEntropy,35
t2w_original_glcm_ClusterProminence,34
t2w_original_glcm_JointEntropy,33
t2w_original_glszm_SizeZoneNonUniformityNormalized,32
t2w_original_firstorder_Median,31
sub_win_original_glcm_ClusterShade,30
sub_win_original_glcm_MaximumProbability,29
t2w_original_glszm_ZoneEntropy,28
t2w_original_firstorder_Skewness,27
sub_wout_original_glcm_ClusterTendency,26
sub_win_original_glcm_ClusterProminence,25
sub_wout_original_glcm_SumSquares,24
sub_wout_original_firstorder_90Percentile,23
sub_wout_original_firstorder_Range,22
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,21
adc_original_glszm_ZoneEntropy,20
sub_wout_original_firstorder_InterquartileRange,19
sub_wout_original_glcm_JointEntropy,18
t2w_original_glcm_MaximumProbability,17
sub_wout_original_glcm_InverseVariance,16
sub_win_original_firstorder_Mean,15
sub_win_original_firstorder_90Percentile,14
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,13
t2w_original_glcm_ClusterTendency,12
t2w_original_firstorder_10Percentile,11
adc_original_glcm_JointEntropy,10
t2w_original_firstorder_90Percentile,9
sub_wout_original_glszm_ZoneEntropy,8
sub_win_original_glcm_SumSquares,7
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,6
adc_original_firstorder_Kurtosis,5
sub_wout_original_firstorder_Median,4
t2w_original_glcm_ClusterShade,3
sub_win_original_firstorder_10Percentile,2
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,1
