feature,rank
sub_wout_original_glcm_ClusterProminence,88
adc_original_firstorder_Minimum,34
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,50
sub_wout_original_firstorder_Maximum,68
adc_original_glcm_ClusterShade,20
sub_wout_original_firstorder_Mean,77
sub_win_original_glcm_Autocorrelation,52
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,48
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,69
sub_wout_original_firstorder_10Percentile,55
adc_original_firstorder_10Percentile,47
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,54
sub_win_original_glcm_ClusterProminence,51
sub_wout_original_firstorder_Minimum,59
sub_wout_original_firstorder_Range,78
sub_wout_original_glcm_ClusterTendency,83
t2w_original_glszm_GrayLevelVariance,67
sub_wout_original_firstorder_RootMeanSquared,86
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,80
sub_wout_original_glcm_JointAverage,84
sub_win_original_firstorder_Mean,29
sub_wout_original_firstorder_Variance,81
sub_wout_original_firstorder_InterquartileRange,75
sub_win_original_glcm_Idmn,61
sub_win_original_glcm_ClusterShade,74
sub_wout_original_firstorder_Median,56
sub_wout_original_glcm_SumEntropy,76
sub_win_original_firstorder_10Percentile,62
adc_original_glszm_SmallAreaEmphasis,19
sub_wout_original_glszm_GrayLevelVariance,63
t2w_original_glcm_Idmn,35
sub_win_original_glszm_GrayLevelVariance,15
t2w_original_firstorder_Skewness,28
sub_wout_original_glcm_InverseVariance,17
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,60
t2w_original_firstorder_10Percentile,32
adc_original_firstorder_Maximum,33
sub_win_original_firstorder_Range,70
sub_wout_original_glcm_SumSquares,82
t2w_original_glcm_ClusterProminence,71
sub_wout_original_firstorder_90Percentile,85
t2w_original_glcm_SumEntropy,11
sub_wout_original_glszm_ZoneEntropy,8
adc_original_glcm_MaximumProbability,40
t2w_original_glrlm_GrayLevelVariance,87
t2w_original_glszm_ZoneEntropy,13
sub_win_original_glcm_SumSquares,25
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,46
sub_win_original_firstorder_90Percentile,39
t2w_original_glcm_ClusterShade,53
adc_original_glrlm_LongRunEmphasis,21
adc_original_firstorder_Mean,27
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,49
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,37
adc_original_glcm_Correlation,58
t2w_original_glcm_InverseVariance,22
sub_win_original_glcm_Id,23
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,10
sub_wout_original_glcm_DifferenceVariance,31
adc_original_glszm_ZoneEntropy,72
t2w_original_glrlm_RunEntropy,4
sub_wout_original_firstorder_Uniformity,2
t2w_original_firstorder_Median,57
adc_original_glszm_SizeZoneNonUniformityNormalized,6
sub_wout_original_glcm_Imc1,24
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,79
adc_original_glcm_ClusterProminence,38
adc_original_glcm_DifferenceVariance,64
t2w_original_firstorder_90Percentile,89
t2w_original_glszm_SmallAreaEmphasis,16
adc_original_glcm_JointEntropy,73
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,41
t2w_original_glcm_ClusterTendency,66
sub_win_original_glcm_SumEntropy,18
sub_wout_original_glszm_ZoneVariance,9
adc_original_glcm_Idmn,42
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,65
adc_original_firstorder_Kurtosis,44
t2w_original_glcm_MaximumProbability,14
sub_win_original_glszm_ZoneEntropy,43
t2w_original_glszm_SizeZoneNonUniformityNormalized,1
t2w_original_glcm_JointEntropy,7
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,12
sub_win_original_glszm_SizeZoneNonUniformityNormalized,3
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,45
sub_win_original_glcm_MaximumProbability,26
sub_win_original_glcm_Imc1,30
sub_wout_original_glcm_JointEntropy,5
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,36
