feature,rank
sub_wout_original_glcm_ClusterProminence,89
adc_original_firstorder_Minimum,19
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,22
sub_wout_original_firstorder_Maximum,67
adc_original_glcm_ClusterShade,14
sub_wout_original_firstorder_Mean,88
sub_win_original_glcm_Autocorrelation,38
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,57
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,46
sub_wout_original_firstorder_10Percentile,36
adc_original_firstorder_10Percentile,37
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,74
sub_win_original_glcm_ClusterProminence,51
sub_wout_original_firstorder_Minimum,66
sub_wout_original_firstorder_Range,79
sub_wout_original_glcm_ClusterTendency,84
t2w_original_glszm_GrayLevelVariance,53
sub_wout_original_firstorder_RootMeanSquared,85
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,87
sub_wout_original_glcm_JointAverage,76
sub_win_original_firstorder_Mean,70
sub_wout_original_firstorder_Variance,86
sub_wout_original_firstorder_InterquartileRange,77
sub_win_original_glcm_Idmn,45
sub_win_original_glcm_ClusterShade,75
sub_wout_original_firstorder_Median,33
sub_wout_original_glcm_SumEntropy,73
sub_win_original_firstorder_10Percentile,81
adc_original_glszm_SmallAreaEmphasis,25
sub_wout_original_glszm_GrayLevelVariance,71
t2w_original_glcm_Idmn,12
sub_win_original_glszm_GrayLevelVariance,16
t2w_original_firstorder_Skewness,58
sub_wout_original_glcm_InverseVariance,26
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,80
t2w_original_firstorder_10Percentile,43
adc_original_firstorder_Maximum,34
sub_win_original_firstorder_Range,49
sub_wout_original_glcm_SumSquares,82
t2w_original_glcm_ClusterProminence,52
sub_wout_original_firstorder_90Percentile,65
t2w_original_glcm_SumEntropy,17
sub_wout_original_glszm_ZoneEntropy,28
adc_original_glcm_MaximumProbability,69
t2w_original_glrlm_GrayLevelVariance,48
t2w_original_glszm_ZoneEntropy,10
sub_win_original_glcm_SumSquares,56
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,60
sub_win_original_firstorder_90Percentile,54
t2w_original_glcm_ClusterShade,47
adc_original_glrlm_LongRunEmphasis,72
adc_original_firstorder_Mean,31
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,20
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,50
adc_original_glcm_Correlation,61
t2w_original_glcm_InverseVariance,27
sub_win_original_glcm_Id,39
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,24
sub_wout_original_glcm_DifferenceVariance,29
adc_original_glszm_ZoneEntropy,78
t2w_original_glrlm_RunEntropy,4
sub_wout_original_firstorder_Uniformity,1
t2w_original_firstorder_Median,44
adc_original_glszm_SizeZoneNonUniformityNormalized,13
sub_wout_original_glcm_Imc1,68
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,83
adc_original_glcm_ClusterProminence,41
adc_original_glcm_DifferenceVariance,63
t2w_original_firstorder_90Percentile,55
t2w_original_glszm_SmallAreaEmphasis,23
adc_original_glcm_JointEntropy,59
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,30
t2w_original_glcm_ClusterTendency,5
sub_win_original_glcm_SumEntropy,7
sub_wout_original_glszm_ZoneVariance,21
adc_original_glcm_Idmn,64
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,62
adc_original_firstorder_Kurtosis,32
t2w_original_glcm_MaximumProbability,9
sub_win_original_glszm_ZoneEntropy,18
t2w_original_glszm_SizeZoneNonUniformityNormalized,2
t2w_original_glcm_JointEntropy,15
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,11
sub_win_original_glszm_SizeZoneNonUniformityNormalized,6
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,40
sub_win_original_glcm_MaximumProbability,3
sub_win_original_glcm_Imc1,42
sub_wout_original_glcm_JointEntropy,8
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,35
