feature,rank
t2w_original_firstorder_Median,89
adc_original_glszm_LargeAreaHighGrayLevelEmphasis,88
adc_original_glcm_MaximumProbability,87
t2w_original_glszm_SmallAreaEmphasis,86
adc_original_glcm_JointEntropy,85
adc_original_glcm_ClusterProminence,84
t2w_original_glcm_MaximumProbability,83
sub_win_original_glcm_Imc1,82
t2w_original_glcm_ClusterProminence,81
adc_original_glszm_LargeAreaLowGrayLevelEmphasis,80
sub_wout_original_firstorder_InterquartileRange,79
sub_wout_original_firstorder_Range,78
sub_wout_original_firstorder_Minimum,77
sub_wout_original_firstorder_10Percentile,76
adc_original_firstorder_Minimum,75
sub_wout_original_glszm_HighGrayLevelZoneEmphasis,74
adc_original_glcm_Correlation,73
sub_wout_original_glcm_DifferenceVariance,72
adc_original_glszm_ZoneEntropy,71
t2w_original_glszm_LargeAreaHighGrayLevelEmphasis,70
adc_original_glrlm_LongRunEmphasis,69
sub_wout_original_firstorder_Maximum,68
sub_wout_original_glszm_ZoneEntropy,67
sub_win_original_glcm_Idmn,66
sub_win_original_glcm_ClusterProminence,65
t2w_original_glcm_InverseVariance,64
sub_win_original_glszm_SmallAreaLowGrayLevelEmphasis,63
t2w_original_firstorder_10Percentile,62
sub_wout_original_glcm_InverseVariance,61
sub_wout_original_glcm_SumSquares,60
sub_win_original_firstorder_Mean,59
sub_wout_original_glrlm_HighGrayLevelRunEmphasis,58
sub_win_original_glcm_ClusterShade,57
sub_win_original_glrlm_LongRunHighGrayLevelEmphasis,56
sub_win_original_glcm_Autocorrelation,55
t2w_original_firstorder_Skewness,54
t2w_original_firstorder_90Percentile,53
sub_win_original_glcm_MaximumProbability,52
sub_win_original_glrlm_ShortRunHighGrayLevelEmphasis,51
sub_win_original_glszm_GrayLevelVariance,50
t2w_original_glrlm_RunEntropy,49
t2w_original_glszm_ZoneEntropy,48
adc_original_firstorder_10Percentile,47
sub_wout_original_firstorder_Mean,46
t2w_original_glcm_JointEntropy,45
sub_wout_original_firstorder_Uniformity,44
sub_wout_original_glrlm_ShortRunHighGrayLevelEmphasis,43
adc_original_firstorder_Mean,42
sub_wout_original_firstorder_Variance,41
sub_wout_original_firstorder_RootMeanSquared,40
sub_win_original_glcm_SumSquares,39
sub_win_original_glcm_Id,38
adc_original_glszm_SizeZoneNonUniformityNormalized,37
sub_win_original_glszm_ZoneEntropy,36
sub_win_original_glcm_SumEntropy,35
adc_original_glcm_DifferenceVariance,34
sub_wout_original_glcm_ClusterTendency,33
adc_original_glszm_SmallAreaEmphasis,32
t2w_original_glcm_SumEntropy,31
adc_original_glcm_Idmn,30
sub_wout_original_glszm_ZoneVariance,29
t2w_original_glcm_ClusterShade,28
t2w_original_glcm_ClusterTendency,27
sub_wout_original_glszm_LargeAreaLowGrayLevelEmphasis,26
sub_wout_original_glrlm_LongRunHighGrayLevelEmphasis,25
sub_wout_original_glszm_GrayLevelVariance,24
t2w_original_glszm_SizeZoneNonUniformityNormalized,23
sub_wout_original_firstorder_90Percentile,22
adc_original_firstorder_Kurtosis,21
sub_win_original_glszm_SizeZoneNonUniformityNormalized,20
sub_win_original_firstorder_10Percentile,19
sub_win_original_glrlm_ShortRunLowGrayLevelEmphasis,18
sub_wout_original_glcm_Imc1,17
t2w_original_glcm_Idmn,16
t2w_original_glrlm_GrayLevelVariance,15
t2w_original_glszm_GrayLevelVariance,14
adc_original_glcm_ClusterShade,13
sub_win_original_firstorder_90Percentile,12
sub_wout_original_glcm_ClusterProminence,11
sub_win_original_firstorder_Range,10
adc_original_firstorder_Maximum,9
t2w_original_glszm_LargeAreaLowGrayLevelEmphasis,8
sub_wout_original_glcm_SumEntropy,7
sub_wout_original_firstorder_Median,6
sub_wout_original_glcm_JointAverage,5
sub_wout_original_glszm_LowGrayLevelZoneEmphasis,4
t2w_original_glrlm_ShortRunLowGrayLevelEmphasis,3
sub_wout_original_glszm_SmallAreaHighGrayLevelEmphasis,2
sub_wout_original_glcm_JointEntropy,1
