,feature,icc_value,c_down,c_up,sequence
126,original_glrlm_LongRunHighGrayLevelEmphasis,0.94,0.92,0.95,t2w
127,original_glrlm_RunLengthNonUniformity,0.98,0.98,0.99,adc
128,original_glrlm_LongRunLowGrayLevelEmphasis,1.0,0.99,1.0,t2w
129,original_glrlm_RunLengthNonUniformityNormalized,0.99,0.98,0.99,adc
130,original_glrlm_LowGrayLevelRunEmphasis,0.91,0.89,0.94,t2w
131,original_glrlm_RunEntropy,0.99,0.99,0.99,t2w
132,original_glrlm_RunPercentage,0.99,0.98,0.99,adc
133,original_glrlm_RunLengthNonUniformity,0.98,0.97,0.98,t2w
134,original_glrlm_RunVariance,0.99,0.99,0.99,adc
135,original_glrlm_RunLengthNonUniformityNormalized,0.99,0.99,0.99,t2w
136,original_glrlm_ShortRunEmphasis,0.99,0.98,0.99,adc
137,original_glrlm_RunPercentage,0.99,0.99,1.0,t2w
138,original_glrlm_ShortRunHighGrayLevelEmphasis,0.82,0.78,0.86,adc
139,original_glrlm_ShortRunLowGrayLevelEmphasis,0.86,0.82,0.89,adc
140,original_glrlm_RunVariance,1.0,0.99,1.0,t2w
141,original_glrlm_ShortRunEmphasis,0.99,0.98,0.99,t2w
142,original_glszm_GrayLevelNonUniformity,0.99,0.99,0.99,adc
143,original_glrlm_ShortRunHighGrayLevelEmphasis,0.98,0.97,0.98,t2w
144,original_glszm_GrayLevelNonUniformityNormalized,0.91,0.89,0.93,adc
145,original_glrlm_ShortRunLowGrayLevelEmphasis,0.91,0.88,0.93,t2w
146,original_glszm_GrayLevelVariance,0.9,0.88,0.93,adc
147,original_glszm_GrayLevelNonUniformity,0.97,0.96,0.97,t2w
148,original_glszm_HighGrayLevelZoneEmphasis,0.81,0.77,0.86,adc
149,original_glszm_GrayLevelNonUniformityNormalized,0.97,0.96,0.98,t2w
150,original_glszm_LargeAreaEmphasis,0.99,0.99,1.0,adc
151,original_glszm_GrayLevelVariance,0.82,0.78,0.86,t2w
152,original_glszm_LargeAreaHighGrayLevelEmphasis,0.98,0.98,0.99,adc
153,original_glszm_HighGrayLevelZoneEmphasis,0.94,0.92,0.95,t2w
154,original_glszm_LargeAreaLowGrayLevelEmphasis,0.69,0.63,0.76,adc
155,original_glszm_LargeAreaEmphasis,0.99,0.99,0.99,t2w
156,original_glszm_LowGrayLevelZoneEmphasis,0.81,0.76,0.85,adc
157,original_glszm_LargeAreaHighGrayLevelEmphasis,0.99,0.98,0.99,t2w
158,original_glszm_SizeZoneNonUniformity,0.96,0.95,0.97,adc
159,original_glszm_LargeAreaLowGrayLevelEmphasis,0.97,0.96,0.98,t2w
160,original_glszm_SizeZoneNonUniformityNormalized,0.93,0.91,0.95,adc
161,original_glszm_LowGrayLevelZoneEmphasis,0.85,0.81,0.89,t2w
162,original_glszm_SmallAreaEmphasis,0.93,0.91,0.94,adc
163,original_glszm_SizeZoneNonUniformity,0.97,0.96,0.98,t2w
164,original_glszm_SmallAreaHighGrayLevelEmphasis,0.84,0.79,0.87,adc
165,original_glszm_SizeZoneNonUniformityNormalized,0.97,0.96,0.98,t2w
166,original_glszm_SmallAreaLowGrayLevelEmphasis,0.73,0.67,0.79,adc
167,original_glszm_ZoneEntropy,0.93,0.91,0.95,adc
168,original_glszm_SmallAreaEmphasis,0.96,0.95,0.97,t2w
169,original_glszm_ZonePercentage,0.98,0.98,0.99,adc
170,original_glszm_SmallAreaHighGrayLevelEmphasis,0.92,0.9,0.94,t2w
171,original_glszm_SmallAreaLowGrayLevelEmphasis,0.83,0.79,0.87,t2w
172,original_glszm_ZoneVariance,1.0,0.99,1.0,adc
173,original_ngtdm_Busyness,0.91,0.89,0.94,adc
174,original_glszm_ZoneEntropy,0.97,0.97,0.98,t2w
175,original_ngtdm_Coarseness,0.98,0.97,0.98,adc
176,original_glszm_ZonePercentage,0.98,0.97,0.98,t2w
177,original_ngtdm_Complexity,0.9,0.87,0.92,adc
178,original_glszm_ZoneVariance,0.99,0.99,0.99,t2w
179,original_ngtdm_Contrast,0.95,0.94,0.96,adc
180,original_ngtdm_Busyness,0.95,0.93,0.96,t2w
181,original_ngtdm_Strength,0.97,0.96,0.98,adc
182,original_ngtdm_Coarseness,0.97,0.96,0.97,t2w
183,original_ngtdm_Complexity,0.73,0.67,0.79,t2w
184,original_gldm_DependenceEntropy,0.94,0.92,0.95,adc
185,original_gldm_DependenceNonUniformity,0.98,0.97,0.98,adc
186,original_ngtdm_Contrast,0.98,0.98,0.99,t2w
187,original_ngtdm_Strength,0.6,0.53,0.67,t2w
188,original_gldm_DependenceNonUniformityNormalized,0.99,0.99,0.99,adc
189,original_gldm_DependenceEntropy,0.99,0.98,0.99,t2w
190,original_gldm_DependenceVariance,0.99,0.99,1.0,adc
191,original_gldm_DependenceNonUniformity,0.98,0.98,0.99,t2w
192,original_gldm_GrayLevelNonUniformity,1.0,0.99,1.0,adc
193,original_gldm_DependenceNonUniformityNormalized,1.0,1.0,1.0,t2w
194,original_gldm_GrayLevelVariance,0.94,0.93,0.96,adc
195,original_gldm_DependenceVariance,1.0,1.0,1.0,t2w
196,original_gldm_HighGrayLevelEmphasis,0.82,0.77,0.86,adc
197,original_gldm_GrayLevelNonUniformity,0.99,0.99,1.0,t2w
198,original_gldm_LargeDependenceEmphasis,0.99,0.99,0.99,adc
199,original_gldm_GrayLevelVariance,1.0,0.99,1.0,t2w
200,original_gldm_LargeDependenceHighGrayLevelEmphasis,0.83,0.79,0.87,adc
201,original_gldm_HighGrayLevelEmphasis,0.97,0.96,0.98,t2w
202,original_gldm_LargeDependenceLowGrayLevelEmphasis,0.71,0.64,0.77,adc
203,original_gldm_LargeDependenceEmphasis,0.99,0.99,1.0,t2w
204,original_gldm_LowGrayLevelEmphasis,0.86,0.82,0.89,adc
205,original_gldm_LargeDependenceHighGrayLevelEmphasis,0.94,0.93,0.96,t2w
206,original_gldm_SmallDependenceEmphasis,0.98,0.97,0.98,adc
207,original_gldm_LargeDependenceLowGrayLevelEmphasis,0.96,0.95,0.97,t2w
208,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.88,0.85,0.91,adc
209,original_gldm_LowGrayLevelEmphasis,0.93,0.91,0.94,t2w
210,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.8,0.75,0.84,adc
211,original_gldm_SmallDependenceEmphasis,0.98,0.98,0.99,t2w
212,log-sigma-2-0-mm-3D_firstorder_10Percentile,0.97,0.95,0.97,adc
213,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.98,0.97,0.99,t2w
214,log-sigma-2-0-mm-3D_firstorder_90Percentile,0.98,0.98,0.99,adc
215,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.85,0.81,0.88,t2w
216,log-sigma-2-0-mm-3D_firstorder_Energy,0.95,0.93,0.96,adc
217,log-sigma-2-0-mm-3D_firstorder_10Percentile,0.99,0.99,1.0,t2w
218,log-sigma-2-0-mm-3D_firstorder_Entropy,0.97,0.96,0.98,adc
219,log-sigma-2-0-mm-3D_firstorder_90Percentile,0.94,0.92,0.95,t2w
220,log-sigma-2-0-mm-3D_firstorder_InterquartileRange,0.98,0.97,0.98,adc
221,log-sigma-2-0-mm-3D_firstorder_Energy,0.98,0.98,0.99,t2w
222,log-sigma-2-0-mm-3D_firstorder_Kurtosis,0.97,0.96,0.98,adc
223,log-sigma-2-0-mm-3D_firstorder_Entropy,0.99,0.99,0.99,t2w
224,log-sigma-2-0-mm-3D_firstorder_Maximum,0.85,0.81,0.89,adc
225,log-sigma-2-0-mm-3D_firstorder_InterquartileRange,1.0,1.0,1.0,t2w
226,log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.97,0.97,0.98,adc
227,log-sigma-2-0-mm-3D_firstorder_Kurtosis,0.69,0.62,0.75,t2w
228,log-sigma-2-0-mm-3D_firstorder_Mean,0.97,0.97,0.98,adc
229,log-sigma-2-0-mm-3D_firstorder_Maximum,0.85,0.81,0.89,t2w
230,log-sigma-2-0-mm-3D_firstorder_Median,0.98,0.97,0.98,adc
231,log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation,1.0,1.0,1.0,t2w
232,log-sigma-2-0-mm-3D_firstorder_Minimum,0.9,0.88,0.93,adc
233,log-sigma-2-0-mm-3D_firstorder_Mean,0.94,0.93,0.96,t2w
234,log-sigma-2-0-mm-3D_firstorder_Range,0.89,0.86,0.92,adc
235,log-sigma-2-0-mm-3D_firstorder_Median,0.93,0.9,0.94,t2w
236,log-sigma-2-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.98,0.97,0.98,adc
237,log-sigma-2-0-mm-3D_firstorder_Minimum,0.92,0.89,0.94,t2w
238,log-sigma-2-0-mm-3D_firstorder_RootMeanSquared,0.97,0.96,0.98,adc
239,log-sigma-2-0-mm-3D_firstorder_Range,0.92,0.9,0.94,t2w
240,log-sigma-2-0-mm-3D_firstorder_Skewness,0.97,0.96,0.98,adc
241,log-sigma-2-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,1.0,1.0,1.0,t2w
242,log-sigma-2-0-mm-3D_firstorder_TotalEnergy,0.95,0.93,0.96,adc
243,log-sigma-2-0-mm-3D_firstorder_RootMeanSquared,0.93,0.91,0.95,t2w
244,log-sigma-2-0-mm-3D_firstorder_Uniformity,0.97,0.97,0.98,adc
245,log-sigma-2-0-mm-3D_firstorder_Skewness,0.88,0.85,0.91,t2w
246,log-sigma-2-0-mm-3D_firstorder_Variance,0.97,0.96,0.98,adc
247,log-sigma-2-0-mm-3D_firstorder_TotalEnergy,0.98,0.98,0.99,t2w
248,log-sigma-2-0-mm-3D_glcm_Autocorrelation,0.91,0.88,0.93,adc
249,log-sigma-2-0-mm-3D_firstorder_Uniformity,0.99,0.99,0.99,t2w
250,log-sigma-2-0-mm-3D_glcm_ClusterProminence,0.98,0.98,0.99,adc
251,log-sigma-2-0-mm-3D_firstorder_Variance,1.0,1.0,1.0,t2w
252,log-sigma-2-0-mm-3D_glcm_ClusterShade,0.98,0.98,0.99,adc
253,log-sigma-2-0-mm-3D_glcm_ClusterTendency,0.98,0.97,0.98,adc
254,log-sigma-2-0-mm-3D_glcm_Autocorrelation,0.85,0.81,0.88,t2w
255,log-sigma-2-0-mm-3D_glcm_Contrast,0.97,0.96,0.98,adc
256,log-sigma-2-0-mm-3D_glcm_ClusterProminence,0.85,0.82,0.89,t2w
257,log-sigma-2-0-mm-3D_glcm_Correlation,0.97,0.97,0.98,adc
258,log-sigma-2-0-mm-3D_glcm_ClusterShade,0.96,0.95,0.97,t2w
259,log-sigma-2-0-mm-3D_glcm_DifferenceAverage,0.98,0.97,0.98,adc
260,log-sigma-2-0-mm-3D_glcm_ClusterTendency,1.0,0.99,1.0,t2w
261,log-sigma-2-0-mm-3D_glcm_DifferenceEntropy,0.97,0.96,0.98,adc
262,log-sigma-2-0-mm-3D_glcm_Contrast,1.0,1.0,1.0,t2w
263,log-sigma-2-0-mm-3D_glcm_Correlation,0.99,0.98,0.99,t2w
264,log-sigma-2-0-mm-3D_glcm_DifferenceVariance,0.96,0.95,0.97,adc
265,log-sigma-2-0-mm-3D_glcm_Id,0.98,0.98,0.99,adc
266,log-sigma-2-0-mm-3D_glcm_DifferenceAverage,0.99,0.99,1.0,t2w
267,log-sigma-2-0-mm-3D_glcm_Idm,0.99,0.98,0.99,adc
268,log-sigma-2-0-mm-3D_glcm_DifferenceEntropy,0.99,0.99,0.99,t2w
269,log-sigma-2-0-mm-3D_glcm_DifferenceVariance,1.0,1.0,1.0,t2w
270,log-sigma-2-0-mm-3D_glcm_Idmn,0.89,0.86,0.92,adc
271,log-sigma-2-0-mm-3D_glcm_Idn,0.91,0.88,0.93,adc
272,log-sigma-2-0-mm-3D_glcm_Id,0.99,0.99,0.99,t2w
273,log-sigma-2-0-mm-3D_glcm_Idm,0.99,0.99,0.99,t2w
274,log-sigma-2-0-mm-3D_glcm_Imc1,0.98,0.97,0.98,adc
275,log-sigma-2-0-mm-3D_glcm_Idmn,0.94,0.92,0.95,t2w
276,log-sigma-2-0-mm-3D_glcm_Imc2,0.99,0.98,0.99,adc
277,log-sigma-2-0-mm-3D_glcm_Idn,0.95,0.93,0.96,t2w
278,log-sigma-2-0-mm-3D_glcm_InverseVariance,0.98,0.98,0.99,adc
279,log-sigma-2-0-mm-3D_glcm_Imc1,0.97,0.96,0.98,t2w
280,log-sigma-2-0-mm-3D_glcm_JointAverage,0.9,0.87,0.93,adc
281,log-sigma-2-0-mm-3D_glcm_Imc2,0.97,0.97,0.98,t2w
282,log-sigma-2-0-mm-3D_glcm_JointEnergy,0.98,0.97,0.98,adc
283,log-sigma-2-0-mm-3D_glcm_InverseVariance,0.99,0.99,0.99,t2w
284,log-sigma-2-0-mm-3D_glcm_JointEntropy,0.97,0.96,0.98,adc
285,log-sigma-2-0-mm-3D_glcm_JointAverage,0.92,0.9,0.94,t2w
286,log-sigma-2-0-mm-3D_glcm_MCC,0.95,0.93,0.96,adc
287,log-sigma-2-0-mm-3D_glcm_JointEnergy,0.99,0.99,0.99,t2w
288,log-sigma-2-0-mm-3D_glcm_MaximumProbability,0.98,0.98,0.99,adc
289,log-sigma-2-0-mm-3D_glcm_JointEntropy,0.99,0.99,0.99,t2w
290,log-sigma-2-0-mm-3D_glcm_SumAverage,0.9,0.87,0.93,adc
291,log-sigma-2-0-mm-3D_glcm_MCC,0.9,0.88,0.93,t2w
292,log-sigma-2-0-mm-3D_glcm_SumEntropy,0.97,0.96,0.98,adc
