,feature,icc_value,c_down,c_up,sequence
103,original_glcm_SumAverage,0.97,0.96,0.98,t2w
104,original_glcm_JointEntropy,0.99,0.99,1.0,adc
105,original_glcm_SumEntropy,1.0,1.0,1.0,t2w
106,original_glcm_MCC,0.92,0.9,0.94,adc
107,original_glcm_SumSquares,1.0,1.0,1.0,t2w
108,original_glcm_MaximumProbability,1.0,1.0,1.0,adc
109,original_glrlm_GrayLevelNonUniformity,1.0,1.0,1.0,t2w
110,original_glcm_SumAverage,0.88,0.84,0.91,adc
111,original_glrlm_GrayLevelNonUniformityNormalized,1.0,1.0,1.0,t2w
112,original_glcm_SumEntropy,0.99,0.99,1.0,adc
113,original_glrlm_GrayLevelVariance,1.0,1.0,1.0,t2w
114,original_glcm_SumSquares,0.99,0.99,1.0,adc
115,original_glrlm_HighGrayLevelRunEmphasis,0.97,0.97,0.98,t2w
116,original_glrlm_GrayLevelNonUniformity,1.0,1.0,1.0,adc
117,original_glrlm_LongRunEmphasis,1.0,1.0,1.0,t2w
118,original_glrlm_GrayLevelNonUniformityNormalized,1.0,0.99,1.0,adc
119,original_glrlm_LongRunHighGrayLevelEmphasis,0.96,0.95,0.97,t2w
120,original_glrlm_GrayLevelVariance,0.99,0.99,0.99,adc
121,original_glrlm_LongRunLowGrayLevelEmphasis,0.99,0.99,0.99,t2w
122,original_glrlm_HighGrayLevelRunEmphasis,0.89,0.86,0.91,adc
123,original_glrlm_LowGrayLevelRunEmphasis,0.93,0.91,0.95,t2w
124,original_glrlm_LongRunEmphasis,1.0,1.0,1.0,adc
125,original_glrlm_RunEntropy,1.0,1.0,1.0,t2w
126,original_glrlm_LongRunHighGrayLevelEmphasis,0.88,0.85,0.91,adc
127,original_glrlm_RunLengthNonUniformity,1.0,1.0,1.0,t2w
128,original_glrlm_LongRunLowGrayLevelEmphasis,0.91,0.89,0.94,adc
129,original_glrlm_RunLengthNonUniformityNormalized,1.0,1.0,1.0,t2w
130,original_glrlm_LowGrayLevelRunEmphasis,0.93,0.91,0.95,adc
131,original_glrlm_RunPercentage,1.0,1.0,1.0,t2w
132,original_glrlm_RunEntropy,0.99,0.99,0.99,adc
133,original_glrlm_RunVariance,1.0,1.0,1.0,t2w
134,original_glrlm_RunLengthNonUniformity,1.0,1.0,1.0,adc
135,original_glrlm_ShortRunEmphasis,1.0,1.0,1.0,t2w
136,original_glrlm_RunLengthNonUniformityNormalized,1.0,1.0,1.0,adc
137,original_glrlm_ShortRunHighGrayLevelEmphasis,0.98,0.97,0.98,t2w
138,original_glrlm_RunPercentage,1.0,1.0,1.0,adc
139,original_glrlm_ShortRunLowGrayLevelEmphasis,0.92,0.9,0.94,t2w
140,original_glrlm_RunVariance,1.0,1.0,1.0,adc
141,original_glszm_GrayLevelNonUniformity,1.0,0.99,1.0,t2w
142,original_glrlm_ShortRunEmphasis,1.0,1.0,1.0,adc
143,original_glszm_GrayLevelNonUniformityNormalized,0.99,0.98,0.99,t2w
144,original_glrlm_ShortRunHighGrayLevelEmphasis,0.89,0.86,0.92,adc
145,original_glszm_GrayLevelVariance,0.82,0.78,0.86,t2w
146,original_glrlm_ShortRunLowGrayLevelEmphasis,0.93,0.91,0.95,adc
147,original_glszm_HighGrayLevelZoneEmphasis,0.95,0.93,0.96,t2w
148,original_glszm_GrayLevelNonUniformity,1.0,1.0,1.0,adc
149,original_glszm_LargeAreaEmphasis,1.0,0.99,1.0,t2w
150,original_glszm_GrayLevelNonUniformityNormalized,0.99,0.99,0.99,adc
151,original_glszm_LargeAreaHighGrayLevelEmphasis,0.99,0.99,0.99,t2w
152,original_glszm_GrayLevelVariance,0.99,0.98,0.99,adc
153,original_glszm_LargeAreaLowGrayLevelEmphasis,0.98,0.98,0.99,t2w
154,original_glszm_HighGrayLevelZoneEmphasis,0.88,0.85,0.91,adc
155,original_glszm_LowGrayLevelZoneEmphasis,0.87,0.83,0.9,t2w
156,original_glszm_LargeAreaEmphasis,1.0,1.0,1.0,adc
157,original_glszm_SizeZoneNonUniformity,1.0,1.0,1.0,t2w
158,original_glszm_LargeAreaHighGrayLevelEmphasis,0.99,0.98,0.99,adc
159,original_glszm_SizeZoneNonUniformityNormalized,0.98,0.98,0.99,t2w
160,original_glszm_LargeAreaLowGrayLevelEmphasis,0.77,0.72,0.82,adc
161,original_glszm_SmallAreaEmphasis,0.98,0.97,0.99,t2w
162,original_glszm_LowGrayLevelZoneEmphasis,0.91,0.88,0.93,adc
163,original_glszm_SmallAreaHighGrayLevelEmphasis,0.93,0.91,0.95,t2w
164,original_glszm_SizeZoneNonUniformity,1.0,1.0,1.0,adc
165,original_glszm_SmallAreaLowGrayLevelEmphasis,0.85,0.81,0.89,t2w
166,original_glszm_SizeZoneNonUniformityNormalized,0.98,0.97,0.98,adc
167,original_glszm_ZoneEntropy,0.98,0.97,0.99,t2w
168,original_glszm_ZonePercentage,0.99,0.99,1.0,t2w
169,original_glszm_SmallAreaEmphasis,0.98,0.97,0.98,adc
170,original_glszm_ZoneVariance,1.0,0.99,1.0,t2w
171,original_glszm_SmallAreaHighGrayLevelEmphasis,0.9,0.87,0.92,adc
172,original_ngtdm_Busyness,0.96,0.94,0.97,t2w
