,feature,icc_value,c_down,c_up,sequence
1162,wavelet-LHL_firstorder_Mean,1.0,0.99,1.0,adc
1163,wavelet-LHL_firstorder_Minimum,0.99,0.99,0.99,t2w
1164,wavelet-LHL_firstorder_Median,1.0,0.99,1.0,adc
1165,wavelet-LHL_firstorder_Range,1.0,1.0,1.0,t2w
1166,wavelet-LHL_firstorder_Minimum,1.0,1.0,1.0,adc
1167,wavelet-LHL_firstorder_RobustMeanAbsoluteDeviation,1.0,1.0,1.0,t2w
1168,wavelet-LHL_firstorder_Range,0.98,0.98,0.99,adc
1169,wavelet-LHL_firstorder_RootMeanSquared,1.0,1.0,1.0,t2w
1170,wavelet-LHL_firstorder_RobustMeanAbsoluteDeviation,1.0,1.0,1.0,adc
1171,wavelet-LHL_firstorder_Skewness,1.0,1.0,1.0,t2w
1172,wavelet-LHL_firstorder_RootMeanSquared,1.0,1.0,1.0,adc
1173,wavelet-LHL_firstorder_TotalEnergy,1.0,1.0,1.0,t2w
1174,wavelet-LHL_firstorder_Skewness,0.99,0.98,0.99,adc
1175,wavelet-LHL_firstorder_Uniformity,1.0,1.0,1.0,t2w
1176,wavelet-LHL_firstorder_TotalEnergy,0.99,0.99,1.0,adc
1177,wavelet-LHL_firstorder_Variance,1.0,1.0,1.0,t2w
1178,wavelet-LHL_firstorder_Uniformity,1.0,1.0,1.0,adc
1179,wavelet-LHL_firstorder_Variance,1.0,1.0,1.0,adc
1180,wavelet-LHL_glcm_Autocorrelation,0.99,0.99,1.0,t2w
1181,wavelet-LHL_glcm_Autocorrelation,1.0,1.0,1.0,adc
1182,wavelet-LHL_glcm_ClusterProminence,1.0,1.0,1.0,t2w
1183,wavelet-LHL_glcm_ClusterProminence,0.99,0.99,1.0,adc
1184,wavelet-LHL_glcm_ClusterShade,1.0,1.0,1.0,t2w
1185,wavelet-LHL_glcm_ClusterTendency,1.0,1.0,1.0,t2w
1186,wavelet-LHL_glcm_ClusterShade,0.99,0.98,0.99,adc
1187,wavelet-LHL_glcm_Contrast,1.0,1.0,1.0,t2w
1188,wavelet-LHL_glcm_ClusterTendency,1.0,1.0,1.0,adc
1189,wavelet-LHL_glcm_Contrast,1.0,1.0,1.0,adc
1190,wavelet-LHL_glcm_Correlation,1.0,1.0,1.0,t2w
1191,wavelet-LHL_glcm_DifferenceAverage,1.0,1.0,1.0,t2w
1192,wavelet-LHL_glcm_Correlation,0.99,0.99,0.99,adc
1193,wavelet-LHL_glcm_DifferenceEntropy,1.0,1.0,1.0,t2w
1194,wavelet-LHL_glcm_DifferenceAverage,1.0,1.0,1.0,adc
1195,wavelet-LHL_glcm_DifferenceVariance,1.0,1.0,1.0,t2w
1196,wavelet-LHL_glcm_DifferenceEntropy,1.0,1.0,1.0,adc
1197,wavelet-LHL_glcm_Id,1.0,1.0,1.0,t2w
1198,wavelet-LHL_glcm_DifferenceVariance,1.0,0.99,1.0,adc
1199,wavelet-LHL_glcm_Idm,1.0,1.0,1.0,t2w
1200,wavelet-LHL_glcm_Id,1.0,1.0,1.0,adc
1201,wavelet-LHL_glcm_Idmn,0.99,0.99,0.99,t2w
1202,wavelet-LHL_glcm_Idm,1.0,1.0,1.0,adc
1203,wavelet-LHL_glcm_Idn,0.99,0.99,0.99,t2w
1204,wavelet-LHL_glcm_Idmn,0.95,0.93,0.96,adc
1205,wavelet-LHL_glcm_Imc1,1.0,1.0,1.0,t2w
1206,wavelet-LHL_glcm_Idn,0.96,0.95,0.97,adc
1207,wavelet-LHL_glcm_Imc2,1.0,1.0,1.0,t2w
1208,wavelet-LHL_glcm_Imc1,0.99,0.99,1.0,adc
1209,wavelet-LHL_glcm_InverseVariance,1.0,1.0,1.0,t2w
1210,wavelet-LHL_glcm_Imc2,1.0,0.99,1.0,adc
1211,wavelet-LHL_glcm_JointAverage,0.99,0.99,1.0,t2w
1212,wavelet-LHL_glcm_InverseVariance,1.0,1.0,1.0,adc
1213,wavelet-LHL_glcm_JointEnergy,1.0,1.0,1.0,t2w
1214,wavelet-LHL_glcm_JointAverage,1.0,1.0,1.0,adc
1215,wavelet-LHL_glcm_JointEntropy,1.0,1.0,1.0,t2w
1216,wavelet-LHL_glcm_JointEnergy,1.0,1.0,1.0,adc
1217,wavelet-LHL_glcm_JointEntropy,1.0,1.0,1.0,adc
1218,wavelet-LHL_glcm_MCC,0.99,0.99,1.0,t2w
1219,wavelet-LHL_glcm_MaximumProbability,1.0,1.0,1.0,t2w
1220,wavelet-LHL_glcm_MCC,0.97,0.96,0.98,adc
1221,wavelet-LHL_glcm_SumAverage,0.99,0.99,1.0,t2w
1222,wavelet-LHL_glcm_MaximumProbability,1.0,1.0,1.0,adc
1223,wavelet-LHL_glcm_SumEntropy,1.0,1.0,1.0,t2w
1224,wavelet-LHL_glcm_SumAverage,1.0,1.0,1.0,adc
1225,wavelet-LHL_glcm_SumSquares,1.0,1.0,1.0,t2w
1226,wavelet-LHL_glcm_SumEntropy,1.0,1.0,1.0,adc
1227,wavelet-LHL_glrlm_GrayLevelNonUniformity,1.0,1.0,1.0,t2w
1228,wavelet-LHL_glcm_SumSquares,1.0,1.0,1.0,adc
1229,wavelet-LHL_glrlm_GrayLevelNonUniformityNormalized,1.0,1.0,1.0,t2w
1230,wavelet-LHL_glrlm_GrayLevelNonUniformity,1.0,1.0,1.0,adc
1231,wavelet-LHL_glrlm_GrayLevelVariance,1.0,1.0,1.0,t2w
1232,wavelet-LHL_glrlm_GrayLevelNonUniformityNormalized,1.0,1.0,1.0,adc
1233,wavelet-LHL_glrlm_HighGrayLevelRunEmphasis,0.99,0.99,1.0,t2w
1234,wavelet-LHL_glrlm_GrayLevelVariance,1.0,1.0,1.0,adc
1235,wavelet-LHL_glrlm_LongRunEmphasis,1.0,1.0,1.0,t2w
1236,wavelet-LHL_glrlm_HighGrayLevelRunEmphasis,1.0,1.0,1.0,adc
1237,wavelet-LHL_glrlm_LongRunEmphasis,1.0,1.0,1.0,adc
1238,wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,1.0,0.99,1.0,t2w
1239,wavelet-LHL_glrlm_LongRunHighGrayLevelEmphasis,1.0,1.0,1.0,adc
1240,wavelet-LHL_glrlm_LongRunLowGrayLevelEmphasis,1.0,0.99,1.0,t2w
1241,wavelet-LHL_glrlm_LowGrayLevelRunEmphasis,0.99,0.99,1.0,t2w
1242,wavelet-LHL_glrlm_LongRunLowGrayLevelEmphasis,0.98,0.97,0.98,adc
1243,wavelet-LHL_glrlm_RunEntropy,0.99,0.99,1.0,t2w
1244,wavelet-LHL_glrlm_LowGrayLevelRunEmphasis,0.98,0.97,0.98,adc
1245,wavelet-LHL_glrlm_RunEntropy,1.0,0.99,1.0,adc
1246,wavelet-LHL_glrlm_RunLengthNonUniformity,1.0,1.0,1.0,t2w
1247,wavelet-LHL_glrlm_RunLengthNonUniformity,1.0,1.0,1.0,adc
1248,wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,1.0,1.0,1.0,t2w
1249,wavelet-LHL_glrlm_RunLengthNonUniformityNormalized,1.0,1.0,1.0,adc
1250,wavelet-LHL_glrlm_RunPercentage,1.0,1.0,1.0,t2w
1251,wavelet-LHL_glrlm_RunPercentage,1.0,1.0,1.0,adc
1252,wavelet-LHL_glrlm_RunVariance,1.0,1.0,1.0,t2w
1253,wavelet-LHL_glrlm_RunVariance,1.0,1.0,1.0,adc
1254,wavelet-LHL_glrlm_ShortRunEmphasis,1.0,1.0,1.0,t2w
1255,wavelet-LHL_glrlm_ShortRunEmphasis,1.0,1.0,1.0,adc
1256,wavelet-LHL_glrlm_ShortRunHighGrayLevelEmphasis,0.99,0.99,1.0,t2w
1257,wavelet-LHL_glrlm_ShortRunHighGrayLevelEmphasis,1.0,1.0,1.0,adc
1258,wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis,0.99,0.99,0.99,t2w
1259,wavelet-LHL_glrlm_ShortRunLowGrayLevelEmphasis,0.97,0.97,0.98,adc
1260,wavelet-LHL_glszm_GrayLevelNonUniformity,1.0,1.0,1.0,t2w
