,feature,icc_value,c_down,c_up,sequence
47,original_firstorder_Median,1.0,1.0,1.0,t2w
48,original_firstorder_Minimum,0.79,0.74,0.84,adc
49,original_firstorder_Minimum,0.98,0.98,0.99,t2w
50,original_firstorder_Range,0.92,0.9,0.94,adc
51,original_firstorder_Range,0.8,0.76,0.85,t2w
52,original_firstorder_RobustMeanAbsoluteDeviation,0.99,0.99,0.99,adc
53,original_firstorder_RobustMeanAbsoluteDeviation,1.0,1.0,1.0,t2w
54,original_firstorder_RootMeanSquared,1.0,1.0,1.0,adc
55,original_firstorder_RootMeanSquared,1.0,1.0,1.0,t2w
56,original_firstorder_Skewness,0.96,0.95,0.97,adc
57,original_firstorder_Skewness,0.87,0.84,0.9,t2w
58,original_firstorder_TotalEnergy,1.0,1.0,1.0,adc
59,original_firstorder_TotalEnergy,1.0,1.0,1.0,t2w
60,original_firstorder_Uniformity,0.99,0.99,0.99,adc
61,original_firstorder_Uniformity,1.0,1.0,1.0,t2w
62,original_firstorder_Variance,1.0,1.0,1.0,t2w
63,original_firstorder_Variance,0.98,0.98,0.99,adc
64,original_glcm_Autocorrelation,0.97,0.97,0.98,t2w
65,original_glcm_Autocorrelation,0.88,0.85,0.91,adc
66,original_glcm_ClusterProminence,0.91,0.89,0.93,t2w
67,original_glcm_ClusterProminence,0.98,0.98,0.99,adc
68,original_glcm_ClusterShade,0.99,0.99,0.99,t2w
69,original_glcm_ClusterShade,0.98,0.98,0.99,adc
70,original_glcm_ClusterTendency,1.0,1.0,1.0,t2w
71,original_glcm_ClusterTendency,0.99,0.99,0.99,adc
72,original_glcm_Contrast,0.98,0.97,0.98,adc
73,original_glcm_Contrast,1.0,0.99,1.0,t2w
74,original_glcm_Correlation,0.98,0.98,0.99,adc
75,original_glcm_Correlation,0.99,0.99,0.99,t2w
76,original_glcm_DifferenceAverage,0.99,0.98,0.99,adc
77,original_glcm_DifferenceAverage,1.0,1.0,1.0,t2w
78,original_glcm_DifferenceEntropy,0.99,0.98,0.99,adc
79,original_glcm_DifferenceEntropy,1.0,0.99,1.0,t2w
80,original_glcm_DifferenceVariance,0.97,0.96,0.98,adc
81,original_glcm_DifferenceVariance,0.99,0.99,1.0,t2w
82,original_glcm_Id,1.0,1.0,1.0,t2w
83,original_glcm_Id,0.99,0.99,0.99,adc
84,original_glcm_Idm,1.0,1.0,1.0,t2w
85,original_glcm_Idm,0.99,0.99,1.0,adc
86,original_glcm_Idmn,0.95,0.94,0.96,t2w
87,original_glcm_Idmn,0.93,0.91,0.95,adc
88,original_glcm_Idn,0.95,0.93,0.96,t2w
89,original_glcm_Idn,0.94,0.92,0.95,adc
90,original_glcm_Imc1,0.99,0.99,1.0,t2w
91,original_glcm_Imc1,0.99,0.98,0.99,adc
92,original_glcm_Imc2,0.99,0.98,0.99,adc
93,original_glcm_Imc2,0.99,0.99,0.99,t2w
94,original_glcm_InverseVariance,0.99,0.99,1.0,t2w
95,original_glcm_InverseVariance,0.99,0.99,1.0,adc
96,original_glcm_JointAverage,0.97,0.96,0.98,t2w
97,original_glcm_JointAverage,0.88,0.84,0.91,adc
98,original_glcm_JointEnergy,1.0,1.0,1.0,t2w
99,original_glcm_JointEnergy,0.99,0.99,0.99,adc
100,original_glcm_JointEntropy,1.0,1.0,1.0,t2w
101,original_glcm_JointEntropy,0.99,0.98,0.99,adc
102,original_glcm_MCC,0.96,0.95,0.97,t2w
103,original_glcm_MCC,0.9,0.87,0.92,adc
104,original_glcm_MaximumProbability,1.0,1.0,1.0,t2w
105,original_glcm_MaximumProbability,0.99,0.98,0.99,adc
106,original_glcm_SumAverage,0.88,0.84,0.91,adc
107,original_glcm_SumAverage,0.97,0.96,0.98,t2w
108,original_glcm_SumEntropy,1.0,1.0,1.0,t2w
109,original_glcm_SumEntropy,0.99,0.99,0.99,adc
110,original_glcm_SumSquares,1.0,1.0,1.0,t2w
111,original_glcm_SumSquares,0.99,0.98,0.99,adc
112,original_glrlm_GrayLevelNonUniformity,1.0,1.0,1.0,adc
113,original_glrlm_GrayLevelNonUniformity,1.0,1.0,1.0,t2w
114,original_glrlm_GrayLevelNonUniformityNormalized,1.0,1.0,1.0,t2w
115,original_glrlm_GrayLevelNonUniformityNormalized,0.99,0.99,0.99,adc
116,original_glrlm_GrayLevelVariance,1.0,1.0,1.0,t2w
117,original_glrlm_GrayLevelVariance,0.98,0.98,0.99,adc
118,original_glrlm_HighGrayLevelRunEmphasis,0.88,0.85,0.91,adc
119,original_glrlm_HighGrayLevelRunEmphasis,0.97,0.96,0.98,t2w
120,original_glrlm_LongRunEmphasis,1.0,0.99,1.0,adc
121,original_glrlm_LongRunEmphasis,1.0,1.0,1.0,t2w
122,original_glrlm_LongRunHighGrayLevelEmphasis,0.88,0.84,0.91,adc
123,original_glrlm_LongRunHighGrayLevelEmphasis,0.96,0.94,0.97,t2w
124,original_glrlm_LongRunLowGrayLevelEmphasis,0.91,0.88,0.93,adc
125,original_glrlm_LongRunLowGrayLevelEmphasis,0.99,0.99,0.99,t2w
126,original_glrlm_LowGrayLevelRunEmphasis,0.93,0.91,0.95,adc
127,original_glrlm_LowGrayLevelRunEmphasis,0.92,0.9,0.94,t2w
128,original_glrlm_RunEntropy,0.98,0.98,0.99,adc
129,original_glrlm_RunEntropy,1.0,0.99,1.0,t2w
130,original_glrlm_RunLengthNonUniformity,1.0,1.0,1.0,adc
131,original_glrlm_RunLengthNonUniformity,1.0,1.0,1.0,t2w
132,original_glrlm_RunLengthNonUniformityNormalized,1.0,1.0,1.0,t2w
133,original_glrlm_RunLengthNonUniformityNormalized,0.99,0.99,1.0,adc
134,original_glrlm_RunPercentage,1.0,1.0,1.0,t2w
135,original_glrlm_RunPercentage,0.99,0.99,1.0,adc
136,original_glrlm_RunVariance,1.0,0.99,1.0,t2w
137,original_glrlm_RunVariance,1.0,0.99,1.0,adc
138,original_glrlm_ShortRunEmphasis,0.99,0.99,1.0,adc
139,original_glrlm_ShortRunEmphasis,1.0,1.0,1.0,t2w
140,original_glrlm_ShortRunHighGrayLevelEmphasis,0.89,0.85,0.91,adc
141,original_glrlm_ShortRunHighGrayLevelEmphasis,0.98,0.97,0.98,t2w
142,original_glrlm_ShortRunLowGrayLevelEmphasis,0.93,0.91,0.95,adc
143,original_glrlm_ShortRunLowGrayLevelEmphasis,0.92,0.9,0.94,t2w
144,original_glszm_GrayLevelNonUniformity,0.99,0.99,1.0,t2w
145,original_glszm_GrayLevelNonUniformity,1.0,1.0,1.0,adc
146,original_glszm_GrayLevelNonUniformityNormalized,0.98,0.97,0.98,t2w
147,original_glszm_GrayLevelNonUniformityNormalized,0.98,0.97,0.98,adc
148,original_glszm_GrayLevelVariance,0.85,0.81,0.89,t2w
149,original_glszm_GrayLevelVariance,0.98,0.97,0.98,adc
150,original_glszm_HighGrayLevelZoneEmphasis,0.95,0.93,0.96,t2w
151,original_glszm_HighGrayLevelZoneEmphasis,0.88,0.84,0.91,adc
152,original_glszm_LargeAreaEmphasis,0.99,0.99,1.0,t2w
153,original_glszm_LargeAreaEmphasis,1.0,1.0,1.0,adc
154,original_glszm_LargeAreaHighGrayLevelEmphasis,0.99,0.99,0.99,t2w
155,original_glszm_LargeAreaHighGrayLevelEmphasis,0.98,0.97,0.98,adc
156,original_glszm_LargeAreaLowGrayLevelEmphasis,0.98,0.97,0.98,t2w
157,original_glszm_LargeAreaLowGrayLevelEmphasis,0.75,0.7,0.81,adc
158,original_glszm_LowGrayLevelZoneEmphasis,0.86,0.82,0.89,t2w
159,original_glszm_LowGrayLevelZoneEmphasis,0.91,0.89,0.94,adc
160,original_glszm_SizeZoneNonUniformity,1.0,0.99,1.0,t2w
161,original_glszm_SizeZoneNonUniformity,0.99,0.99,0.99,adc
162,original_glszm_SizeZoneNonUniformityNormalized,0.97,0.96,0.98,adc
163,original_glszm_SizeZoneNonUniformityNormalized,0.98,0.98,0.99,t2w
164,original_glszm_SmallAreaEmphasis,0.98,0.97,0.98,t2w
165,original_glszm_SmallAreaEmphasis,0.97,0.95,0.97,adc
166,original_glszm_SmallAreaHighGrayLevelEmphasis,0.93,0.91,0.95,t2w
167,original_glszm_SmallAreaHighGrayLevelEmphasis,0.89,0.86,0.92,adc
168,original_glszm_SmallAreaLowGrayLevelEmphasis,0.86,0.82,0.89,t2w
169,original_glszm_SmallAreaLowGrayLevelEmphasis,0.85,0.81,0.89,adc
170,original_glszm_ZoneEntropy,0.98,0.97,0.98,adc
171,original_glszm_ZoneEntropy,0.97,0.96,0.98,t2w
172,original_glszm_ZonePercentage,0.99,0.99,0.99,adc
173,original_glszm_ZonePercentage,0.99,0.99,0.99,t2w
174,original_glszm_ZoneVariance,1.0,1.0,1.0,adc
175,original_glszm_ZoneVariance,0.99,0.99,1.0,t2w
176,original_ngtdm_Busyness,0.95,0.94,0.96,adc
177,original_ngtdm_Busyness,0.96,0.94,0.97,t2w
178,original_ngtdm_Coarseness,0.99,0.98,0.99,adc
179,original_ngtdm_Coarseness,0.99,0.98,0.99,t2w
180,original_ngtdm_Complexity,0.77,0.72,0.82,t2w
181,original_ngtdm_Complexity,0.95,0.94,0.97,adc
182,original_ngtdm_Contrast,0.97,0.96,0.98,adc
183,original_ngtdm_Contrast,0.98,0.97,0.98,t2w
184,original_ngtdm_Strength,0.97,0.96,0.98,adc
185,original_ngtdm_Strength,0.48,0.41,0.57,t2w
186,original_gldm_DependenceEntropy,0.98,0.98,0.99,adc
187,original_gldm_DependenceEntropy,1.0,0.99,1.0,t2w
188,original_gldm_DependenceNonUniformity,1.0,1.0,1.0,t2w
189,original_gldm_DependenceNonUniformity,1.0,0.99,1.0,adc
190,original_gldm_DependenceNonUniformityNormalized,1.0,1.0,1.0,t2w
191,original_gldm_DependenceNonUniformityNormalized,0.99,0.99,1.0,adc
192,original_gldm_DependenceVariance,1.0,1.0,1.0,t2w
193,original_gldm_DependenceVariance,0.99,0.99,0.99,adc
194,original_gldm_GrayLevelNonUniformity,1.0,1.0,1.0,adc
195,original_gldm_GrayLevelNonUniformity,1.0,1.0,1.0,t2w
196,original_gldm_GrayLevelVariance,1.0,1.0,1.0,t2w
197,original_gldm_GrayLevelVariance,0.98,0.98,0.99,adc
198,original_gldm_HighGrayLevelEmphasis,0.97,0.97,0.98,t2w
199,original_gldm_HighGrayLevelEmphasis,0.88,0.85,0.91,adc
200,original_gldm_LargeDependenceEmphasis,1.0,1.0,1.0,t2w
201,original_gldm_LargeDependenceEmphasis,1.0,0.99,1.0,adc
202,original_gldm_LargeDependenceHighGrayLevelEmphasis,0.89,0.86,0.92,adc
203,original_gldm_LargeDependenceHighGrayLevelEmphasis,0.95,0.94,0.97,t2w
204,original_gldm_LargeDependenceLowGrayLevelEmphasis,0.71,0.65,0.77,adc
205,original_gldm_LargeDependenceLowGrayLevelEmphasis,0.96,0.95,0.97,t2w
206,original_gldm_LowGrayLevelEmphasis,0.93,0.9,0.94,adc
207,original_gldm_LowGrayLevelEmphasis,0.93,0.91,0.95,t2w
208,original_gldm_SmallDependenceEmphasis,0.99,0.99,0.99,adc
209,original_gldm_SmallDependenceEmphasis,1.0,0.99,1.0,t2w
210,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.99,0.98,0.99,t2w
211,original_gldm_SmallDependenceHighGrayLevelEmphasis,0.93,0.9,0.94,adc
212,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.91,0.88,0.93,t2w
213,original_gldm_SmallDependenceLowGrayLevelEmphasis,0.9,0.88,0.93,adc
214,log-sigma-2-0-mm-3D_firstorder_10Percentile,1.0,0.99,1.0,t2w
215,log-sigma-2-0-mm-3D_firstorder_10Percentile,0.99,0.98,0.99,adc
216,log-sigma-2-0-mm-3D_firstorder_90Percentile,0.98,0.97,0.98,t2w
217,log-sigma-2-0-mm-3D_firstorder_90Percentile,0.98,0.97,0.98,adc
218,log-sigma-2-0-mm-3D_firstorder_Energy,0.99,0.99,0.99,adc
219,log-sigma-2-0-mm-3D_firstorder_Energy,1.0,1.0,1.0,t2w
220,log-sigma-2-0-mm-3D_firstorder_Entropy,0.99,0.99,0.99,adc
221,log-sigma-2-0-mm-3D_firstorder_Entropy,0.99,0.99,1.0,t2w
222,log-sigma-2-0-mm-3D_firstorder_InterquartileRange,1.0,1.0,1.0,t2w
223,log-sigma-2-0-mm-3D_firstorder_InterquartileRange,0.99,0.99,0.99,adc
224,log-sigma-2-0-mm-3D_firstorder_Kurtosis,0.96,0.95,0.97,adc
225,log-sigma-2-0-mm-3D_firstorder_Kurtosis,0.68,0.62,0.75,t2w
226,log-sigma-2-0-mm-3D_firstorder_Maximum,0.85,0.81,0.88,adc
227,log-sigma-2-0-mm-3D_firstorder_Maximum,0.87,0.84,0.9,t2w
228,log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation,0.99,0.99,0.99,adc
229,log-sigma-2-0-mm-3D_firstorder_MeanAbsoluteDeviation,1.0,1.0,1.0,t2w
230,log-sigma-2-0-mm-3D_firstorder_Mean,0.98,0.97,0.98,adc
231,log-sigma-2-0-mm-3D_firstorder_Mean,0.98,0.97,0.98,t2w
232,log-sigma-2-0-mm-3D_firstorder_Median,0.98,0.97,0.99,adc
233,log-sigma-2-0-mm-3D_firstorder_Median,0.97,0.96,0.97,t2w
234,log-sigma-2-0-mm-3D_firstorder_Minimum,0.91,0.89,0.94,adc
235,log-sigma-2-0-mm-3D_firstorder_Minimum,0.89,0.86,0.92,t2w
236,log-sigma-2-0-mm-3D_firstorder_Range,0.9,0.88,0.93,t2w
237,log-sigma-2-0-mm-3D_firstorder_Range,0.9,0.88,0.93,adc
238,log-sigma-2-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,1.0,1.0,1.0,t2w
239,log-sigma-2-0-mm-3D_firstorder_RobustMeanAbsoluteDeviation,0.99,0.99,0.99,adc
240,log-sigma-2-0-mm-3D_firstorder_RootMeanSquared,0.97,0.96,0.98,t2w
241,log-sigma-2-0-mm-3D_firstorder_RootMeanSquared,0.99,0.99,0.99,adc
242,log-sigma-2-0-mm-3D_firstorder_Skewness,0.88,0.85,0.91,t2w
243,log-sigma-2-0-mm-3D_firstorder_Skewness,0.96,0.95,0.97,adc
244,log-sigma-2-0-mm-3D_firstorder_TotalEnergy,1.0,1.0,1.0,t2w
245,log-sigma-2-0-mm-3D_firstorder_TotalEnergy,0.99,0.99,0.99,adc
246,log-sigma-2-0-mm-3D_firstorder_Uniformity,0.99,0.99,0.99,adc
247,log-sigma-2-0-mm-3D_firstorder_Uniformity,0.99,0.99,1.0,t2w
248,log-sigma-2-0-mm-3D_firstorder_Variance,0.99,0.99,0.99,adc
249,log-sigma-2-0-mm-3D_firstorder_Variance,1.0,0.99,1.0,t2w
250,log-sigma-2-0-mm-3D_glcm_Autocorrelation,0.92,0.89,0.94,adc
251,log-sigma-2-0-mm-3D_glcm_Autocorrelation,0.83,0.79,0.87,t2w
252,log-sigma-2-0-mm-3D_glcm_ClusterProminence,0.9,0.88,0.93,t2w
253,log-sigma-2-0-mm-3D_glcm_ClusterProminence,0.99,0.99,0.99,adc
254,log-sigma-2-0-mm-3D_glcm_ClusterShade,0.97,0.96,0.98,t2w
255,log-sigma-2-0-mm-3D_glcm_ClusterShade,0.98,0.98,0.99,adc
256,log-sigma-2-0-mm-3D_glcm_ClusterTendency,0.99,0.99,0.99,adc
257,log-sigma-2-0-mm-3D_glcm_ClusterTendency,1.0,1.0,1.0,t2w
258,log-sigma-2-0-mm-3D_glcm_Contrast,0.98,0.97,0.99,adc
259,log-sigma-2-0-mm-3D_glcm_Contrast,1.0,0.99,1.0,t2w
260,log-sigma-2-0-mm-3D_glcm_Correlation,0.97,0.96,0.98,adc
261,log-sigma-2-0-mm-3D_glcm_Correlation,0.98,0.98,0.99,t2w
262,log-sigma-2-0-mm-3D_glcm_DifferenceAverage,0.99,0.99,1.0,t2w
263,log-sigma-2-0-mm-3D_glcm_DifferenceAverage,0.99,0.98,0.99,adc
264,log-sigma-2-0-mm-3D_glcm_DifferenceEntropy,0.99,0.98,0.99,adc
265,log-sigma-2-0-mm-3D_glcm_DifferenceEntropy,0.99,0.99,0.99,t2w
266,log-sigma-2-0-mm-3D_glcm_DifferenceVariance,1.0,1.0,1.0,t2w
267,log-sigma-2-0-mm-3D_glcm_DifferenceVariance,0.97,0.96,0.98,adc
268,log-sigma-2-0-mm-3D_glcm_Id,0.99,0.99,1.0,t2w
269,log-sigma-2-0-mm-3D_glcm_Id,0.99,0.99,1.0,adc
270,log-sigma-2-0-mm-3D_glcm_Idm,0.99,0.99,1.0,t2w
271,log-sigma-2-0-mm-3D_glcm_Idm,0.99,0.99,1.0,adc
272,log-sigma-2-0-mm-3D_glcm_Idmn,0.88,0.85,0.91,adc
273,log-sigma-2-0-mm-3D_glcm_Idmn,0.93,0.9,0.94,t2w
274,log-sigma-2-0-mm-3D_glcm_Idn,0.93,0.91,0.95,t2w
275,log-sigma-2-0-mm-3D_glcm_Idn,0.9,0.87,0.92,adc
276,log-sigma-2-0-mm-3D_glcm_Imc1,0.98,0.97,0.98,adc
277,log-sigma-2-0-mm-3D_glcm_Imc1,0.98,0.97,0.98,t2w
278,log-sigma-2-0-mm-3D_glcm_Imc2,0.99,0.98,0.99,adc
279,log-sigma-2-0-mm-3D_glcm_Imc2,0.98,0.97,0.98,t2w
280,log-sigma-2-0-mm-3D_glcm_InverseVariance,0.99,0.99,0.99,t2w
281,log-sigma-2-0-mm-3D_glcm_InverseVariance,0.99,0.99,1.0,adc
282,log-sigma-2-0-mm-3D_glcm_JointAverage,0.89,0.86,0.92,t2w
283,log-sigma-2-0-mm-3D_glcm_JointAverage,0.91,0.89,0.93,adc
284,log-sigma-2-0-mm-3D_glcm_JointEnergy,0.99,0.99,1.0,adc
285,log-sigma-2-0-mm-3D_glcm_JointEnergy,1.0,0.99,1.0,t2w
286,log-sigma-2-0-mm-3D_glcm_JointEntropy,1.0,0.99,1.0,t2w
287,log-sigma-2-0-mm-3D_glcm_JointEntropy,0.99,0.99,0.99,adc
288,log-sigma-2-0-mm-3D_glcm_MCC,0.92,0.89,0.94,t2w
289,log-sigma-2-0-mm-3D_glcm_MCC,0.94,0.93,0.96,adc
290,log-sigma-2-0-mm-3D_glcm_MaximumProbability,0.99,0.99,1.0,t2w
291,log-sigma-2-0-mm-3D_glcm_MaximumProbability,0.99,0.99,0.99,adc
292,log-sigma-2-0-mm-3D_glcm_SumAverage,0.91,0.89,0.93,adc
293,log-sigma-2-0-mm-3D_glcm_SumAverage,0.89,0.86,0.92,t2w
294,log-sigma-2-0-mm-3D_glcm_SumEntropy,1.0,0.99,1.0,t2w
295,log-sigma-2-0-mm-3D_glcm_SumEntropy,0.99,0.99,0.99,adc
296,log-sigma-2-0-mm-3D_glcm_SumSquares,1.0,1.0,1.0,t2w
297,log-sigma-2-0-mm-3D_glcm_SumSquares,0.99,0.99,0.99,adc
298,log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformity,1.0,1.0,1.0,t2w
299,log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformity,1.0,1.0,1.0,adc
300,log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,0.99,0.99,0.99,t2w
301,log-sigma-2-0-mm-3D_glrlm_GrayLevelNonUniformityNormalized,0.99,0.99,0.99,adc
302,log-sigma-2-0-mm-3D_glrlm_GrayLevelVariance,0.99,0.99,0.99,t2w
303,log-sigma-2-0-mm-3D_glrlm_GrayLevelVariance,0.99,0.98,0.99,adc
304,log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.83,0.79,0.87,t2w
305,log-sigma-2-0-mm-3D_glrlm_HighGrayLevelRunEmphasis,0.92,0.9,0.94,adc
306,log-sigma-2-0-mm-3D_glrlm_LongRunEmphasis,1.0,1.0,1.0,adc
307,log-sigma-2-0-mm-3D_glrlm_LongRunEmphasis,1.0,0.99,1.0,t2w
308,log-sigma-2-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.91,0.88,0.93,adc
309,log-sigma-2-0-mm-3D_glrlm_LongRunHighGrayLevelEmphasis,0.83,0.78,0.87,t2w
310,log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.86,0.82,0.89,adc
311,log-sigma-2-0-mm-3D_glrlm_LongRunLowGrayLevelEmphasis,0.88,0.85,0.91,t2w
312,log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.85,0.81,0.89,t2w
313,log-sigma-2-0-mm-3D_glrlm_LowGrayLevelRunEmphasis,0.85,0.81,0.88,adc
314,log-sigma-2-0-mm-3D_glrlm_RunEntropy,0.97,0.96,0.98,t2w
315,log-sigma-2-0-mm-3D_glrlm_RunEntropy,0.98,0.98,0.99,adc
316,log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformity,0.99,0.99,1.0,t2w
317,log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformity,1.0,0.99,1.0,adc
318,log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,0.99,0.99,1.0,adc
319,log-sigma-2-0-mm-3D_glrlm_RunLengthNonUniformityNormalized,0.99,0.99,0.99,t2w
320,log-sigma-2-0-mm-3D_glrlm_RunPercentage,1.0,0.99,1.0,adc
321,log-sigma-2-0-mm-3D_glrlm_RunPercentage,0.99,0.99,1.0,t2w
322,log-sigma-2-0-mm-3D_glrlm_RunVariance,1.0,1.0,1.0,t2w
323,log-sigma-2-0-mm-3D_glrlm_RunVariance,1.0,1.0,1.0,adc
324,log-sigma-2-0-mm-3D_glrlm_ShortRunEmphasis,0.99,0.99,0.99,t2w
325,log-sigma-2-0-mm-3D_glrlm_ShortRunEmphasis,1.0,0.99,1.0,adc
326,log-sigma-2-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.92,0.9,0.94,adc
327,log-sigma-2-0-mm-3D_glrlm_ShortRunHighGrayLevelEmphasis,0.83,0.79,0.87,t2w
328,log-sigma-2-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.85,0.81,0.88,adc
329,log-sigma-2-0-mm-3D_glrlm_ShortRunLowGrayLevelEmphasis,0.85,0.82,0.89,t2w
330,log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,0.99,0.99,1.0,adc
331,log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,0.97,0.96,0.98,t2w
332,log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.9,0.87,0.92,t2w
333,log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformityNormalized,0.97,0.96,0.98,adc
334,log-sigma-2-0-mm-3D_glszm_GrayLevelVariance,0.97,0.97,0.98,adc
335,log-sigma-2-0-mm-3D_glszm_GrayLevelVariance,0.76,0.7,0.81,t2w
336,log-sigma-2-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.85,0.81,0.89,t2w
337,log-sigma-2-0-mm-3D_glszm_HighGrayLevelZoneEmphasis,0.91,0.89,0.94,adc
338,log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,0.99,0.99,0.99,t2w
339,log-sigma-2-0-mm-3D_glszm_LargeAreaEmphasis,1.0,1.0,1.0,adc
340,log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.9,0.88,0.93,t2w
341,log-sigma-2-0-mm-3D_glszm_LargeAreaHighGrayLevelEmphasis,0.99,0.99,1.0,adc
342,log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.94,0.92,0.96,t2w
343,log-sigma-2-0-mm-3D_glszm_LargeAreaLowGrayLevelEmphasis,0.98,0.97,0.98,adc
344,log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.79,0.74,0.83,t2w
345,log-sigma-2-0-mm-3D_glszm_LowGrayLevelZoneEmphasis,0.84,0.79,0.87,adc
346,log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.74,0.69,0.8,t2w
347,log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformity,0.99,0.99,0.99,adc
348,log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.61,0.54,0.68,t2w
349,log-sigma-2-0-mm-3D_glszm_SizeZoneNonUniformityNormalized,0.92,0.9,0.94,adc
350,log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis,0.91,0.89,0.93,adc
351,log-sigma-2-0-mm-3D_glszm_SmallAreaEmphasis,0.52,0.44,0.59,t2w
352,log-sigma-2-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.92,0.9,0.94,adc
353,log-sigma-2-0-mm-3D_glszm_SmallAreaHighGrayLevelEmphasis,0.81,0.76,0.85,t2w
